Brighton;ENG;91;AMEX Stadium;Fabian Hürzeler;DEU;0054A6;FFFFFF;31500
Bart Verbruggen;G;NLD;N;24;D;S;Ref;Fle;0
Jason Steele;G;ENG;N;36;D;N;Rbo;Con;0
Tom McGill;G;CAN;N;26;D;N;Ref;Fle;0
Costinha;L;PRT;N;26;D;N;Des;Res;0
Ferdi Kadıoğlu;L;TUR;N;26;D;N;Mar;Vel;0
Jaouen Hadjam;L;DZA;N;23;E;N;Cru;Vel;0
Mats Wieffer;L;NLD;N;26;D;S;Des;For;0
Maxim De Cuyper;L;BEL;N;25;E;S;Cru;Agi;0
Lewis Dunk;Z;ENG;N;34;D;S;Ant;Imp;0
Luka Vuskovic;Z;HRV;N;19;D;S;Cab;Imp;3
Michael Svoboda;Z;AUT;N;27;D;N;Cab;Imp;0
Olivier Boscagli;Z;FRA;N;28;E;S;Des;Con;0
Pascal Struijk;Z;NLD;N;27;E;N;Pos;For;0
Jack Hinshelwood;V;ENG;N;21;D;N;Chu;For;0
Malick Yalcouyé;V;CIV;N;20;D;N;Des;Agi;0
Diego Gómez;M;PRY;N;23;D;S;Fin;Agi;0
Femi Azeez;M;ENG;N;25;E;S;Fin;Cri;0
Matt O'Riley;M;DNK;N;25;E;N;Pas;Cri;0
Pascal Groß;M;DEU;N;35;D;S;Pas;Cri;0
Yasin Ayari;M;SWE;N;22;D;S;Chu;Agi;0
Cozier-Duberry;P;ENG;N;21;E;N;Arm;Cri;0
Ibrahim Osman;P;GHA;N;21;D;N;Dri;Vel;0
Kaoru Mitoma;P;JPN;N;29;D;N;Dri;Agi;0
Yankuba Minteh;P;GMB;N;22;E;N;Arm;Cri;0
Zadok Yohanna;P;NGA;N;19;E;N;Dri;Ace;0
Evan Ferguson;A;IRL;N;21;D;N;Cab;Imp;0
Georginio Rutter;A;FRA;N;24;E;S;Dri;For;0
Kostoulas;A;GRC;N;19;D;S;Fin;For;0
Promise David;A;CAN;N;25;D;N;Fin;Imp;6
Stefanos Tzimas;A;GRC;N;20;A;N;Dri;Vel;0
