Bristol City;ENG;75;Ashton Gate;Michael Skubala;ENG;FF0000;FFFFFF;26000
Brad Collins;G;ENG;N;29;D;N;Ref;Fle;0
Lewis Thomas;G;WLS;N;28;D;N;Col;Con;0
Sam Tickle;G;ENG;N;24;E;S;Ref;Fle;0
Cameron Pring;L;ENG;N;28;E;N;Cru;Res;0
Elijah Morrison;L;ENG;N;20;E;N;Cru;Ace;0
George Tanner;L;ENG;N;26;D;S;Des;For;0
Rio Cardines;L;TTO;N;20;E;S;Mar;Vel;0
Seb Naylor;L;ENG;N;20;E;N;Pas;Agi;0
Lisav Naif Eissat;Z;ROU;N;21;E;S;Ant;Vel;0
Luke McNally;Z;IRL;N;26;D;N;Cab;For;0
Noah Eile;Z;SWE;N;24;D;N;Ant;Con;0
Rob Atkinson;Z;ENG;N;28;E;N;Cab;For;0
Rob Dickie;Z;ENG;N;30;D;S;Ant;Con;0
Adam Randell;V;ENG;N;25;D;N;Pas;Vis;0
Gibson Yah;V;NLD;N;22;D;N;Pas;Agi;0
Jason Knight;M;IRL;N;25;D;S;Pas;Res;0
Joe Williams;M;ENG;N;29;D;S;Pas;Vis;0
Sam Greenwood;M;ENG;N;24;D;S;Chu;Cri;0
Scott Twine;M;ENG;N;27;D;N;Fin;Cri;0
Tomi Horvat;M;SVN;N;27;E;N;Chu;Vis;0
Jed Wallace;P;ENG;N;32;D;S;Cru;Res;0
Sam Bell;P;ENG;N;24;D;N;Dri;Vel;0
Yu Hirakawa;P;JPN;N;25;D;S;Dri;Agi;0
Dom Ballard;A;ENG;N;21;D;N;Fin;Res;0
Elijah Adebayo;A;ENG;N;28;D;N;Fin;For;0
Lorent Tolaj;A;CHE;N;24;E;S;Fin;For;0
