Burnley;ENG;79;Turf Moor;Nicky Hayen;BEL;660808;73E8F0;21500
Ben Amos;G;ENG;N;36;D;N;Col;Con;0
Grégoire Coudert;G;FRA;N;27;E;S;Ref;Con;0
Max Weiß;G;DEU;N;22;D;N;Col;Con;0
Connor Roberts;L;WLS;N;30;D;N;Pas;Res;0
Kyle Walker;L;ENG;N;36;D;S;Pos;Agi;0
Lucas Pires;L;BRA;N;25;E;S;Pas;Agi;0
Oliver Sonne;L;PER;N;25;D;N;Cru;Agi;0
Anel Ahmedhodzic;Z;BIH;N;27;D;N;Pos;Vel;0
Bashir Humphreys;Z;ENG;N;23;E;S;Ant;Con;0
Hjalmar Ekdal;Z;SWE;N;27;D;S;Ant;Imp;0
Igor Julio;Z;BRA;N;28;E;N;Pos;Con;0
Jordan Beyer;Z;DEU;N;26;D;N;Des;Con;0
Max Alleyne;Z;ENG;N;20;A;N;Pos;Res;0
Josh Cullen;V;IRL;N;30;D;S;Pas;Vis;0
Josh Laurent;V;ENG;N;31;D;S;Pas;Agi;0
Ugo Raghouber;V;FRA;N;23;E;N;Pas;Vis;0
Aaron Ramsey;M;ENG;N;23;D;N;Fin;Agi;0
Hannibal;M;TUN;N;23;D;S;Pas;Vis;0
Mike Tresor;M;BEL;N;27;D;N;Pas;Cri;0
Jacob Bruun Larsen;P;DNK;N;27;D;N;Cru;Agi;0
Jaydon Banel;P;NLD;N;21;D;N;Dri;Ace;0
Largie Ramazani;P;BEL;N;25;D;N;Dri;Agi;0
Lluc Castell;P;ESP;N;19;D;N;Fin;Agi;0
Marcus Edwards;P;ENG;N;27;E;N;Dri;Agi;0
Armando Broja;A;ALB;N;24;D;N;Dri;For;0
Dastan Satpaev;A;KAZ;N;18;A;S;Fin;Vel;0
Lyle Foster;A;ZAF;N;25;D;S;Cab;For;0
Michael Obafemi;A;IRL;N;26;D;N;Pas;Vel;0
Zeki Amdouni;A;CHE;N;25;A;N;Chu;Vel;0
Zian Flemming;A;NLD;N;27;D;S;Chu;Imp;0
