Charlton Athletic;ENG;75;The Valley;Nathan Jones;WLS;D6011D;FFFFFF;27000
Thomas Kaminski;G;BEL;N;33;D;S;Ref;Con;0
Tiernan Brooks;G;IRL;N;24;D;N;Ref;Fle;0
Will Mannion;G;ENG;N;28;D;N;Col;Con;0
Danny McNamara;L;IRL;N;27;D;N;Des;Res;0
Joe Rankin-Costello;L;ENG;N;26;D;N;Pas;Res;0
Josh Edwards;L;SCT;N;26;E;N;Cru;Res;0
Kayne Ramsay;L;ENG;N;25;D;S;Des;Vel;0
Amari'i Bell;Z;JAM;N;32;E;S;Des;Vel;0
Billy Koumetio;Z;FRA;N;23;E;N;Des;Imp;0
Collins Sichenje;Z;KEN;N;22;D;N;Pos;Con;0
Ivan Mesik;Z;SVK;N;25;E;N;Ant;Con;0
Lloyd Jones;Z;ENG;N;30;D;S;Cab;Con;0
Reece Burke;Z;ENG;N;29;D;S;Ant;Vel;0
Tyler Bindon;Z;NZL;N;21;D;N;Des;For;0
Conor Coventry;V;IRL;N;26;D;S;Pas;Con;0
Nathaniel Chalobah;V;ENG;N;31;D;N;Pas;Con;0
Greg Docherty;M;SCT;N;29;D;S;Dri;Res;0
Harvey Knibbs;M;ENG;N;27;D;N;Fin;Res;0
Sonny Carey;M;ENG;N;25;D;S;Chu;Vis;0
Millenic Alli;P;IRL;N;26;D;N;Dri;Ace;0
Rob Apter;P;SCT;N;23;E;N;Arm;Agi;0
Tyreece Campbell;P;JAM;N;22;D;S;Dri;Vel;0
Charlie Kelman;A;USA;N;24;D;S;Fin;Res;0
Karlan Grant;A;ENG;N;28;D;N;Fin;Vel;0
Matty Godden;A;ENG;N;34;D;N;Fin;Fri;0
Micah Mbick;A;ENG;N;19;D;N;Pas;Res;0
Miles Leaburn;A;ENG;N;22;D;S;Cab;Imp;0
