Chelsea;ENG;93;Stamford Bridge;Xabi Alonso;ESP;004793;FFFFFF;41500
Emiliano Martínez;G;ARG;S;33;D;S;Ref;Con;1
Teddy Sharman-Lowe;G;ENG;N;23;D;N;Sgo;Fle;0
Caleb Wiley;L;USA;N;21;E;N;Des;Ace;0
Denner;L;BRA;N;18;E;N;Cru;Ace;0
Jorrel Hato;L;NLD;N;20;E;N;Pas;Agi;0
Josh Acheampong;L;ENG;N;20;D;N;Pas;Ace;0
Malo Gusto;L;FRA;N;23;D;S;Pas;Vel;0
Marco Palestra;L;ITA;N;21;D;N;Cru;Res;0
Pep Chavarría;L;ESP;N;28;E;N;Des;Res;0
Reece James;L;ENG;N;26;D;S;Pas;Vel;3
Levi Colwill;Z;ENG;N;23;E;N;Pos;For;0
Mamadou Sarr;Z;SEN;N;20;D;N;Pos;Vel;0
Maxence Lacroix;Z;FRA;N;25;D;S;Ant;For;0
Tosin Adarabioyo;Z;ENG;N;28;D;S;Cab;Imp;0
Wesley Fofana;Z;FRA;N;25;D;S;Ant;Con;0
Jordan Henderson;V;ENG;N;36;D;S;Pas;Vis;0
Moisés Caicedo;V;ECU;S;24;D;S;Chu;Agi;3
Roméo Lavia;V;BEL;N;22;D;N;Ant;Agi;0
Cole Palmer;M;ENG;S;24;E;N;Chu;Cri;0
Morgan Rogers;M;ENG;N;23;D;N;Pas;Vis;0
Valentín Barco;M;ARG;N;21;E;N;Pas;Res;0
Estêvão;P;BRA;N;19;E;N;Dri;Cri;0
Geovany Quenda;P;PRT;N;19;E;N;Pas;Vel;0
Jamie Gittens;P;ENG;N;21;D;N;Dri;Cri;0
Mykhaylo Mudryk;P;UKR;N;25;D;N;Pas;Vel;0
Pedro Neto;P;PRT;N;26;E;S;Cru;Vel;0
Danny Welbeck;A;ENG;N;35;D;N;Chu;Vel;0
Emmanuel Emegha;A;NLD;N;23;D;N;Fin;Imp;0
João Pedro;A;BRA;N;24;D;S;Fin;Vel;6
