Fulham;ENG;89;Craven Cottage;Álvaro Arbeloa;ESP;FFFFFF;000000;29500
Benjamin Lecomte;G;FRA;N;35;E;N;Rbo;Con;0
Bernd Leno;G;DEU;N;34;D;S;Ref;Con;1
Antonee Robinson;L;USA;N;29;E;S;Cru;Vel;0
Kenny Tete;L;NLD;N;30;D;S;Des;Vel;0
Ryan Sessegnon;L;ENG;N;26;E;S;Des;Vel;0
Timothy Castagne;L;BEL;N;30;D;S;Pos;Vel;0
Calvin Bassey;Z;NGA;N;26;E;S;Des;Vel;3
Joachim Andersen;Z;DNK;N;30;D;S;Pos;Vel;0
Jorge Cuenca;Z;ESP;N;26;E;N;Ant;Vel;0
Harrison Reed;V;ENG;N;31;D;N;Ant;Con;0
Sander Berge;V;NOR;N;28;D;S;Pas;Agi;0
Shea Charles;V;NIR;N;22;D;N;Pas;Con;0
Tom Cairney;V;SCT;N;35;E;N;Pas;For;0
César Palacios;M;ESP;N;21;D;N;Fin;Cri;0
Emile Smith Rowe;M;ENG;N;26;D;S;Fin;Vis;2
Josh King;M;ENG;N;19;D;S;Dri;Agi;0
Alex Iwobi;P;NGA;N;30;D;S;Pas;Cri;0
Kevin;P;BRA;N;23;D;N;Dri;Cri;0
Oscar Bobb;P;NOR;N;23;E;N;Pas;Agi;0
Gonzalo García;A;ESP;N;22;A;N;Fin;Imp;0
Jonah Kusi-Asare;A;SWE;N;19;D;N;Pas;Res;0
Rodrigo Muniz;A;BRA;N;25;D;N;Cab;For;0
