Leeds United;ENG;88;Elland Road;Daniel Farke;DEU;FAF7F7;BDAD00;37500
Alex Cairns;G;ENG;N;33;D;S;Rbo;Con;0
James Trafford;G;ENG;N;23;D;N;Ref;Fle;0
Michael Zetterer;G;DEU;N;31;A;N;Ref;Con;0
Gabriel Gudmundsson;L;SWE;N;27;E;S;Cru;Agi;0
James Justin;L;ENG;N;28;A;S;Des;Vel;0
Jayden Bogle;L;ENG;N;26;D;S;Pas;Agi;0
Jaka Bijol;Z;SVN;N;27;D;S;Cab;Con;0
Joe Rodon;Z;WLS;N;28;D;S;Pos;For;0
Nico Elvedi;Z;CHE;N;29;D;S;Cab;Imp;0
Tarik Muharemović;Z;BIH;N;23;E;N;Ant;Imp;0
Anton Stach;V;DEU;N;27;D;S;Chu;Vis;0
Ethan Ampadu;V;WLS;N;25;D;S;Ant;Vis;0
Ilia Gruev;V;BGR;N;26;E;N;Pas;Vis;0
Ao Tanaka;M;JPN;N;27;D;N;Pas;Vis;0
Brenden Aaronson;M;USA;N;25;D;S;Dri;Vis;0
Sean Longstaff;M;ENG;N;28;D;N;Pas;Cri;0
Daniel James;P;WLS;N;28;D;N;Fin;Cri;0
Harry Wilson;P;WLS;N;29;E;N;Cru;Cri;0
Noah Okafor;P;CHE;N;26;D;N;Dri;Agi;0
Calvert-Lewin;A;ENG;N;29;D;S;Cab;Imp;0
Lukas Nmecha;A;DEU;N;27;D;N;Cab;Vel;0
Mateo Joseph;A;ESP;N;22;D;N;Chu;For;0
