Leicester City;ENG;67;King Power Stadium;Russell Martin;SCT;0052A1;FFFFFF;32000
Alex McCarthy;G;ENG;N;36;D;N;Ref;Con;0
Franco Ravizzoli;G;ARG;N;29;D;N;Ref;Fle;0
Jakub Stolarczyk;G;POL;N;25;D;S;Ref;Fle;0
Christian McFarlane;L;ENG;N;19;E;N;Pas;Ace;0
Jayden Joseph;L;ENG;N;20;D;N;Pas;Res;0
Luke Thomas;L;ENG;N;25;E;S;Pos;Res;0
Olabade Aluko;L;ENG;N;19;D;N;Cru;Res;0
Woyo Coulibaly;L;MLI;N;27;A;N;Des;For;0
Ben Nelson;Z;ENG;N;22;D;N;Ant;Vel;0
Caleb Okoli;Z;ITA;N;25;D;S;Des;For;0
Harry Souttar;Z;AUS;N;27;D;S;Cab;Imp;0
Ilari Kangasniemi;Z;FIN;N;19;D;N;Ant;Con;0
Wout Faes;Z;BEL;N;28;D;N;Mar;Vel;0
Oliver Skipp;V;ENG;N;25;D;S;Pas;Con;0
Sammy Braybrooke;V;ENG;N;22;D;N;Pas;For;0
De Cordova-Reid;M;JAM;N;33;D;S;Pas;Res;0
Harry Howell;M;ENG;N;18;E;N;Arm;Vis;0
Liam Cullen;M;WLS;N;27;E;S;Fin;Vis;0
Louis Page;M;ENG;N;18;E;N;Pas;Agi;0
Wes Burns;M;WLS;N;31;D;S;Arm;Fri;0
Will Alves;M;ENG;N;21;D;S;Dri;Cri;0
Stephy Mavididi;P;ENG;N;28;D;S;Fin;Vel;0
Tom Watson;P;ENG;N;20;D;S;Fin;Vel;0
Admir Bristric;A;BIH;N;23;D;N;Fin;For;0
Conor Chaplin;A;ENG;N;29;E;N;Fin;Res;0
Emil Riis;A;DNK;N;28;D;N;Fin;Vel;0
