Liverpool;ENG;95;Anfield;Andoni Iraola;ESP;E6001E;FFFFFF;61000
Alisson;G;BRA;S;33;D;S;Ref;Fle;0
Freddie Woodman;G;ENG;N;29;D;N;Rbo;For;0
Giorgi Mamardashvili;G;GEO;N;25;E;N;Ref;Imp;0
Harvey Davies;G;ENG;N;22;E;N;Sgo;Con;0
Vitezslav Jaros;G;CZE;N;25;D;N;Ref;Con;0
Conor Bradley;L;NIR;N;23;D;N;Pos;For;0
Jeremie Frimpong;L;NLD;N;25;D;S;Cru;Agi;0
Konstantinos Tsimikas;L;GRC;N;30;E;N;Pas;Vel;0
Milos Kerkez;L;HUN;N;22;E;S;Cru;For;0
Giovanni Leoni;Z;ITA;N;19;D;N;Mar;Res;0
Joe Gomez;Z;ENG;N;29;D;N;Pos;For;0
Jérémy Jacquet;Z;FRA;N;21;D;S;Pos;Vel;0
Ronald Araujo;Z;URY;N;27;D;N;Cab;Imp;0
Virgil van Dijk;Z;NLD;S;35;D;S;Cab;Con;4
Ryan Gravenberch;V;NLD;N;24;D;N;Ant;Vis;0
Wataru Endo;V;JPN;N;33;D;N;Chu;Vis;0
Alexis Mac Allister;M;ARG;N;27;D;S;Chu;Cri;2
Dominik Szoboszlai;M;HUN;N;25;D;S;Chu;Vis;2
Florian Wirtz;M;DEU;N;23;D;S;Arm;Vis;5
Trey Nyoni;M;ENG;N;19;D;N;Pas;Res;0
Bradley Barcola;P;FRA;N;23;D;N;Fin;Vel;0
Cody Gakpo;P;NLD;S;27;D;S;Fin;Cri;0
Federico Chiesa;P;ITA;N;28;D;N;Pas;Agi;0
Rio Ngumoha;P;ENG;N;18;D;N;Cru;Cri;0
Víctor Muñoz;P;ESP;N;23;D;S;Dri;Vel;0
Alexander Isak;A;SWE;S;26;D;S;Fin;Vel;6
Hugo Ekitiké;A;FRA;N;24;D;N;Dri;Vel;0
