Millwall;ENG;80;The Den;Alex Neil;SCT;00337B;FAFAFA;20000
George Evans;G;ENG;N;21;D;N;Ref;Con;0
Joel Coleman;G;ENG;N;30;D;N;Col;Imp;0
Lukas Jensen;G;DNK;N;27;D;N;Ref;Fle;0
Max Crocombe;G;NZL;N;32;D;S;Ref;Con;0
Jordi Osei-Tutu;L;ENG;N;27;D;N;Des;Vel;0
Ryan Leonard;L;ENG;N;34;D;S;Des;Res;0
Zak Sturge;L;ENG;N;22;E;N;Cru;Vel;0
Caleb Taylor;Z;ENG;N;23;D;S;Cab;Imp;0
Danny Batth;Z;ENG;N;35;D;N;Cab;Imp;0
Elkan Baggott;Z;IDN;N;23;E;N;Cab;Imp;0
Jake Cooper;Z;ENG;N;31;E;S;Cab;For;0
Tristan Crama;Z;FRA;N;24;D;S;Pos;For;0
Casper De Norre;V;BEL;N;29;D;S;Pas;Vis;0
Alfie Doughty;M;ENG;N;26;E;N;Arm;Res;0
Daniel Kelly;M;SCT;N;20;D;N;Pas;Res;0
Derek Mazou-Sacko;M;FRA;N;21;D;N;Dri;Res;0
Jenson Metcalfe;M;ENG;N;21;D;N;Pas;Vis;0
Luke Cundle;M;ENG;N;24;D;N;Fin;Agi;0
Mark Sykes;M;IRL;N;28;D;S;Fin;Res;0
Mathis Servais;M;BEL;N;21;E;N;Pas;Res;0
Benicio Baker;P;ENG;N;22;E;N;Dri;Vel;0
Camiel Neghli;P;DZA;N;24;E;S;Dri;Cri;0
Kyrell Lisbie;P;ENG;N;22;D;N;Pas;Vel;0
Zak Lovelace;P;ENG;N;20;D;N;Dri;Vel;0
Ajay Matthews;A;ENG;N;20;D;N;Fin;Vel;0
Josh Coburn;A;ENG;N;23;D;N;Fin;For;0
Lyndon Dykes;A;SCT;N;30;D;N;Cab;For;0
Mihailo Ivanović;A;SRB;N;21;D;S;Chu;For;0
Taïryk Arconte;A;GLP;N;22;D;S;Chu;Fri;0
