Oxford United;ENG;67;Kassam Stadium;Aaron Ramsey;WLS;FFEE00;0000FF;12500
Jamie Cumming;G;ENG;N;26;D;S;Ref;Con;0
Simon Eastwood;G;ENG;N;37;D;N;Sgo;Con;0
Brodie Spencer;L;NIR;N;22;D;S;Des;For;0
Greg Leigh;L;JAM;N;31;E;S;Mar;Ace;0
Jack Currie;L;ENG;N;24;E;S;Des;For;0
Peter Kioso;L;COD;N;26;D;N;Cru;Vel;0
Ruben Roosken;L;NLD;N;26;E;N;Cru;Res;0
Sam Long;L;ENG;N;31;D;S;Mar;Res;0
Ciaron Brown;Z;NIR;N;28;E;S;Des;Con;0
Frankie Kent;Z;ENG;N;30;D;N;Cab;For;0
James Golding;Z;IRL;N;21;D;N;Cab;Con;0
Michal Helik;Z;POL;N;30;D;S;Cab;Imp;0
De Keersmaecker;V;BEL;N;26;D;S;Pas;Vis;0
Jamie McDonnell;V;NIR;N;22;D;N;Des;Res;0
Cameron Brannagan;M;ENG;N;30;D;S;Pas;Vis;0
Louie Sibley;M;ENG;N;24;E;N;Fin;Agi;0
Marselino Ferdinan;M;IDN;N;21;D;N;Dri;Cri;0
Aidomo Emakhu;P;IRL;N;22;D;N;Arm;Vel;0
Jin-woo Jeon;P;KOR;N;26;D;N;Fin;Vel;0
Siriki Dembélé;P;SCT;N;29;D;S;Dri;Agi;0
Tyler Goodrham;P;IRL;N;22;D;N;Arm;Cri;0
Gatlin O'Donkor;A;ENG;N;21;E;N;Fin;Vel;0
Mark Harris;A;WLS;N;27;D;S;Fin;Vel;0
