Portsmouth;ENG;76;Fratton Park;John Mousinho;ENG;0754ED;FFFFFF;20500
Daniel Bielica;G;POL;N;27;D;S;Sgo;Con;0
Nicolas Schmid;G;AUT;N;29;A;S;Sgo;Con;0
Connor Ogilvie;L;ENG;N;30;E;S;Pos;For;0
Michael Ani;L;ENG;N;20;D;N;Des;Vel;0
Terry Devlin;L;NIR;N;22;D;N;Des;For;0
Zak Swanson;L;ENG;N;25;D;S;Pos;For;0
Benjamin Arthur;Z;ENG;N;20;D;N;Pos;Vel;0
Conor Shaughnessy;Z;IRL;N;30;D;N;Des;For;0
Josh Knight;Z;ENG;N;28;D;N;Cab;Con;0
Madiodio Dia;Z;SEN;N;22;D;N;Ant;Con;0
Regan Poole;Z;WLS;N;28;D;S;Ant;Imp;0
Iyad Mohamed;V;COM;N;25;E;N;Des;For;0
Ebou Adams;M;GMB;N;30;D;N;Pas;Res;0
John Swift;M;ENG;N;31;D;S;Arm;Vis;0
Luke Brooke-Smith;M;NZL;N;18;D;S;Pas;Agi;0
Luke Le Roux;M;ZAF;N;26;D;N;Pas;Vis;0
Marlon Pack;M;ENG;N;35;D;S;Pas;Vis;0
Márk Kosznovszky;M;HUN;N;24;D;N;Pas;Agi;0
Odin Bailey;M;ENG;N;26;E;N;Chu;Res;0
Rocco Shein;M;EST;N;23;D;N;Arm;Vis;0
Abu Kamara;P;ENG;N;23;E;N;Dri;Agi;0
Adrian Segečić;P;AUS;N;22;E;N;Fin;Res;0
Franco Umeh;P;IRL;N;21;E;N;Fin;Ace;0
Harvey Blair;P;ENG;N;22;D;N;Arm;Agi;0
Josh Murphy;P;ENG;N;31;D;S;Dri;Ace;0
Keshi Anderson;P;ENG;N;31;D;N;Cru;Agi;0
Colby Bishop;A;ENG;N;29;D;S;Fin;For;0
Eoin Kenny;A;NIR;N;20;D;N;Dri;Vel;0
Marko Milovanović;A;SRB;N;22;D;S;Fin;Imp;0
Thomas Waddingham;A;AUS;N;21;E;N;Fin;For;0
