Sheffield Wednesday;ENG;66;Hillsborough;Henrik Pedersen;DNK;1E3CFA;FFFFFF;39500
Ashley Maynard-Brewer;G;AUS;N;27;D;N;Ref;Fle;0
Connal Trueman;G;ENG;N;30;D;N;Col;Con;0
Joe Lumley;G;ENG;N;31;D;S;Ref;For;0
Guilherme Siqueira;L;BRA;N;21;D;N;Pos;Agi;0
Liam Palmer;L;SCT;N;34;D;S;Pos;Res;0
Max Lowe;L;ENG;N;29;E;S;Pos;Agi;0
Reece James;L;ENG;N;32;E;N;Cru;Res;0
Sean Fusire;L;ZWE;N;21;D;S;Des;Res;0
Yan Valery;L;TUN;N;27;D;S;Cru;Vel;0
Cole McGhee;Z;ENG;N;20;E;N;Pos;Con;0
Di'Shon Bernard;Z;JAM;N;25;D;N;Mar;For;0
Gabriel Otegbayo;Z;IRL;N;21;D;S;Des;For;0
Liam Cooper;Z;SCT;N;34;E;S;Ant;Con;0
Ricardo Santos;Z;CPV;N;31;D;N;Cab;For;0
Sil Swinkels;Z;NLD;N;22;E;N;Ant;Con;0
Billy Mitchell;V;ENG;N;25;D;N;Des;Res;0
Jarvis Thornton;V;ENG;N;20;D;S;Pas;Res;0
Barry Bannan;M;SCT;N;36;E;S;Arm;Vis;0
Callum Slattery;M;ENG;N;27;D;N;Arm;Vis;0
Jaden Heskey;M;ENG;N;20;E;N;Pas;Vis;0
Jordi Liongola;M;BDI;N;26;D;N;Arm;Res;0
Tyler Onyango;M;ENG;N;23;D;N;Pas;Res;0
Louie Barry;P;IRL;N;23;D;S;Dri;Ace;0
Ali Al-Hamadi;A;IRQ;N;24;D;N;Dri;Vel;0
Harry Gray;A;ENG;N;17;D;N;Pas;Vel;0
Jamal Lowe;A;JAM;N;32;D;S;Dri;Res;0
Mason Burstow;A;ENG;N;23;D;N;Fin;Vel;0
William Grainger;A;WLS;N;17;D;N;Fin;For;0
