Stoke City;ENG;73;bet365 Stadium;Mark Robins;ENG;D20D2B;FFFFFF;30000
Frank Fielding;G;ENG;N;38;D;N;Col;Con;0
Josh Griffiths;G;ENG;N;24;D;N;Col;Imp;0
Viktor Johansson;G;SWE;N;27;D;S;Ref;Fle;0
Aaron Cresswell;L;ENG;N;36;E;S;Cru;For;0
Ben Johnson;L;ENG;N;26;D;N;Des;Agi;0
Eric-Junior Bocat;L;FRA;N;27;E;N;Cru;Vel;0
Junior Tchamadeu;L;CMR;N;22;D;S;Des;Ace;0
Ben Gibson;Z;ENG;N;33;E;N;Pos;Con;0
Ben Wilmot;Z;ENG;N;26;D;S;Des;Vel;0
Bosun Lawal;Z;IRL;N;23;D;S;Des;For;0
Luke Graham;Z;SCT;N;22;E;N;Ant;For;0
Maksym Taloverov;Z;UKR;N;26;D;N;Pos;Imp;0
Ben Pearson;V;ENG;N;31;D;S;Des;For;0
Djibril Soumaré;V;SEN;N;23;E;N;Mar;Agi;0
Ethan Galbraith;M;NIR;N;25;D;S;Pas;Agi;0
Jun-ho Bae;M;KOR;N;22;D;S;Dri;Agi;0
Svante Ingelsson;M;SWE;N;28;E;S;Pas;Res;0
Tomas Rigo;M;SVK;N;24;D;N;Pas;Agi;0
Ato Ampah;P;ENG;N;20;D;N;Dri;Ace;0
Lamine Cissé;P;FRA;N;23;D;N;Dri;Agi;0
Million Manhoef;P;NLD;N;24;E;S;Dri;Vel;0
Sorba Thomas;P;WLS;N;27;D;S;Cru;Res;0
George Hirst;A;SCT;N;27;D;N;Fin;Res;0
Róbert Boženík;A;SVK;N;26;D;N;Fin;Res;0
Sam Gallagher;A;ENG;N;30;D;N;Cab;Imp;0
