Tottenham;ENG;91;Tottenham Hotspur Stadium;Roberto De Zerbi;ITA;FFFFFF;001C58;62500
Antonín Kinský;G;CZE;N;23;D;N;Sgo;Con;0
Brandon Austin;G;ENG;N;27;D;N;Sgo;Con;0
Martin Dúbravka;G;SVK;N;37;D;S;Rbo;Con;0
Andrew Robertson;L;SCT;N;32;E;N;Pas;Agi;0
Destiny Udogie;L;ITA;N;23;E;N;Des;For;0
Pedro Porro;L;ESP;N;26;D;S;Cru;Agi;0
Ben Davies;Z;WLS;N;33;E;N;Des;Imp;0
Jan Paul van Hecke;Z;NLD;N;26;D;S;Pos;Con;0
Marcos Senesi;Z;ARG;N;29;E;S;Ant;Con;0
Micky van de Ven;Z;NLD;N;25;E;S;Mar;For;0
Archie Gray;V;ENG;N;20;D;N;Pas;Agi;0
Lucas Bergvall;V;SWE;N;20;D;N;Ant;Vis;0
Rodrigo Bentancur;V;URY;N;29;D;S;Ant;Vis;0
Sandro Tonali;V;ITA;N;26;D;S;Chu;Con;0
Conor Gallagher;M;ENG;N;26;D;N;Pas;Agi;0
Dejan Kulusevski;M;SWE;N;26;E;N;Pas;Agi;0
James Maddison;M;ENG;S;29;D;N;Arm;Vis;0
Mateus Fernandes;M;PRT;N;22;D;S;Arm;Vis;0
Xavi Simons;M;NLD;N;23;D;S;Arm;Cri;0
Mohammed Kudus;P;GHA;N;25;E;S;Cru;Cri;0
Savinho;P;BRA;N;22;E;N;Pas;Agi;0
Wilson Odobert;P;FRA;N;21;D;N;Dri;Vel;0
Dane Scarlett;A;ENG;N;22;D;N;Fin;Imp;0
Dominic Solanke;A;ENG;N;28;D;N;Cab;For;0
Mathys Tel;A;FRA;N;21;D;N;Chu;Vel;0
Omar Marmoush;A;EGY;N;27;D;N;Chu;Vel;0
Richarlison;A;BRA;N;29;D;S;Fin;For;0
