Watford;ENG;75;Vicarage Road;Alessio Dionisi;ITA;FFF71C;E3002D;22000
Daniel Bachmann;G;AUT;N;32;D;N;Ref;Imp;0
Federico Ravaglia;G;ITA;N;26;D;S;Col;Fri;0
Sam Walker;G;ENG;N;34;D;N;Ref;For;0
Jeremy Ngakia;L;COD;N;25;D;N;Des;For;0
Jordan Zemura;L;ZWE;N;26;E;S;Des;Agi;0
Marc Bola;L;ENG;N;28;E;N;Pos;For;0
Omar Traoré;L;DEU;N;28;D;S;Cru;Vel;0
Branimir Mlacic;Z;HRV;N;19;D;N;Cab;Imp;0
Kévin Keben;Z;CMR;N;22;D;S;Pos;Vel;0
Mattie Pollock;Z;ENG;N;24;D;S;Cab;Imp;0
Hector Kyprianou;V;CYP;N;25;D;S;Ant;Con;0
Edo Kayembe;M;COD;N;28;E;N;Chu;Res;0
Edoardo Bove;M;ITA;N;24;D;S;Pas;Res;0
Jack Grieves;M;ENG;N;21;D;N;Pas;Res;0
Martín Payero;M;ARG;N;27;D;N;Dri;Res;0
Amin Nabizada;P;AFG;N;19;D;S;Fin;Agi;0
Kwadwo Baah;P;DEU;N;23;D;N;Dri;Vel;0
Nikoloz Chikovani;P;GEO;N;19;D;N;Fin;Vel;0
Othmane Maamma;P;MAR;N;20;A;S;Pas;Agi;0
Rocco Vata;P;IRL;N;21;D;N;Dri;Agi;0
Iker Bravo;A;ESP;N;21;D;S;Pas;For;0
Luca Kjerrumgaard;A;DNK;N;23;E;S;Cab;Imp;0
Mamadou Doumbia;A;MLI;N;20;E;N;Fin;Imp;0
