West Bromwich;ENG;78;The Hawthorns;James Morrison;SCT;000080;FFFFFF;26500
Matt Ingram;G;ENG;N;32;E;N;Ref;Con;0
Max O'Leary;G;IRL;N;29;D;S;Col;Con;0
Alex Williams;L;WLS;N;21;D;N;Cru;For;0
Callum Styles;L;HUN;N;26;E;S;Pas;Agi;0
Conor Townsend;L;ENG;N;33;E;N;Cru;Res;0
Nolan Galves;L;FRA;N;23;D;S;Mar;Vel;0
Brayann Pereira;Z;FRA;N;23;D;N;Pos;Res;0
Chris Mepham;Z;WLS;N;28;D;N;Cab;For;0
George Campbell;Z;USA;N;25;D;S;Des;Res;0
Nat Phillips;Z;ENG;N;29;D;S;Cab;Imp;0
Ousmane Diakité;V;MLI;N;26;D;S;Des;For;0
Rabby Nzingoula;V;FRA;N;20;D;N;Des;Agi;0
Toby Collyer;V;ENG;N;22;D;N;Mar;Agi;0
Felix Horn Myhre;M;NOR;N;27;D;S;Arm;Vis;0
Harry Whitwell;M;ENG;N;20;D;S;Dri;Agi;0
Isaac Price;M;NIR;N;22;D;S;Fin;Res;0
Jayson Molumby;M;IRL;N;27;D;N;Pas;Res;0
Ollie Bostock;M;WLS;N;19;D;N;Dri;Agi;0
Kareem Tunde;P;ESP;N;21;E;N;Dri;Ace;0
Mikey Johnston;P;IRL;N;27;D;N;Arm;Agi;0
Aune Heggebø;A;NOR;N;25;E;S;Fin;For;0
Barney Stewart;A;SCT;N;22;D;N;Cab;Imp;0
Jimmy-Jay Morgan;A;ENG;N;20;D;S;Fin;Res;0
Tammer Bany;A;JOR;N;22;D;N;Pas;Vel;0
