West Ham United;ENG;82;London Stadium;Nuno Espírito Santo;PRT;660033;87D3FF;62500
Alphonse Areola;G;FRA;N;33;D;N;Col;Con;0
Finlay Herrick;G;ENG;N;20;D;N;Ref;Fri;0
Mads Hermansen;G;DNK;N;26;D;S;Sgo;Imp;0
Joël Veltman;L;NLD;N;34;D;N;Des;Vel;0
Kyle Walker-Peters;L;ENG;N;29;D;S;Pos;Agi;0
Oliver Scarles;L;ENG;N;20;E;S;Des;Agi;0
Airidas Golambeckis;Z;ENG;N;18;D;N;Pos;Con;0
Ezra Mayers;Z;ENG;N;19;E;N;Mar;Res;0
Konstantinos Mavropanos;Z;GRC;N;28;D;S;Ant;Imp;0
Maximilian Kilman;Z;ENG;N;29;E;S;Ant;Imp;0
Morato;Z;BRA;N;25;E;N;Des;Vel;0
Edson Álvarez;V;MEX;N;28;D;N;Des;For;0
Mohamadou Kanté;V;FRA;N;20;D;S;Pas;For;0
Soungoutou Magassa;V;FRA;N;22;D;N;Ant;Vis;0
Tomáš Souček;V;CZE;N;31;D;N;Chu;Agi;0
Arne Engels;M;BEL;N;22;D;S;Arm;Vis;0
Divine Mukasa;M;ENG;N;19;E;N;Arm;Cri;0
Lewis Orford;M;ENG;N;20;D;S;Arm;Vis;0
Edvin Austbø;P;NOR;N;21;D;N;Dri;Cri;0
Jarrod Bowen;P;ENG;N;29;E;S;Pas;Agi;0
Keiber Lamadrid;P;VEN;N;22;E;N;Pas;Res;0
Manor Solomon;P;ISR;N;27;D;S;Dri;Agi;0
Maxwel Cornet;P;CIV;N;29;E;N;Cru;Vel;0
Joshua Ajala;A;ENG;N;19;D;N;Fin;Vel;0
Joël Piroe;A;SUR;N;27;E;N;Fin;Vel;0
Pablo;A;BRA;N;22;D;N;Fin;For;0
Taty Castellanos;A;ARG;N;27;D;S;Fin;For;0
