Wolverhampton;ENG;80;Molineux Stadium;César Peixoto;PRT;FDB913;231F20;31500
John Ruddy;G;ENG;N;39;D;N;Ref;Con;0
José Sá;G;PRT;N;33;D;S;Sgo;Con;0
João Virgínia;G;PRT;N;26;E;N;Rbo;For;0
Sam Johnstone;G;ENG;N;33;D;N;Rbo;Imp;0
Hugo Bueno;L;ESP;N;23;E;S;Cru;Agi;0
Jackson Tchatchoua;L;CMR;N;24;D;S;Cru;Vel;0
Kieran Trippier;L;ENG;N;35;D;S;Cru;Vel;0
Pedro Lima;L;BRA;N;20;D;N;Mar;Vel;0
Rodrigo Gomes;L;PRT;N;23;D;N;Pos;Vel;0
Ladislav Krejci;Z;CZE;N;27;E;S;Ant;Imp;0
Nasser Djiga;Z;BFA;N;23;D;N;Ant;Vel;0
Santiago Bueno;Z;URY;N;27;D;S;Des;Con;0
Toti;Z;PRT;N;27;E;N;Des;Vel;0
Yerson Mosquera;Z;COL;N;25;D;S;Des;Vel;0
André;V;BRA;N;25;D;S;Pas;For;0
Boubacar Traoré;V;MLI;N;24;D;N;Pas;For;0
Bellegarde;M;HTI;N;28;D;N;Pas;Vis;0
Fer López;M;ESP;N;22;E;N;Chu;Cri;0
Jordan James;M;WLS;N;22;D;N;Chu;Res;0
Marshall Munetsi;M;ZWE;N;30;D;S;Chu;Vis;0
Mateus Mané;M;ENG;N;18;D;N;Chu;Cri;0
Tawanda Chirewa;M;ZWE;N;22;D;N;Fin;Agi;0
Tommy Doyle;M;ENG;N;24;D;N;Pas;Vis;0
Enso González;P;PRY;N;21;E;N;Pas;Res;0
Rafiki Saïd;P;COM;N;26;D;S;Fin;Vel;0
Adam Armstrong;A;ENG;N;29;D;N;Chu;Vel;0
Nathan Fraser;A;IRL;N;21;D;N;Pas;Res;0
Raúl Jiménez;A;MEX;N;35;D;S;Fin;Imp;6
