Albacete;ESP;75;Carlos Belmonte;Alberto González;ESP;FFFFFF;000000;17500
Carlos Marín;G;ESP;N;29;D;N;Col;Con;0
Diego Mariño;G;ESP;N;36;D;S;Ref;Con;0
Carlos Neva;L;ESP;N;30;E;S;Cru;For;0
Dani Bernabéu;L;ESP;N;19;D;N;Mar;Agi;0
Fran Gámez;L;ESP;N;35;D;S;Pas;Agi;0
Lorenzo Aguado;L;ESP;N;23;D;N;Des;For;0
Javi Moreno;Z;ESP;N;26;D;N;Mar;For;0
Jesús Vallejo;Z;ESP;N;29;D;S;Ant;Con;0
Lluís López;Z;ESP;N;29;D;S;Pos;Vel;0
Pepe Sánchez;Z;ESP;N;26;D;S;Des;For;0
Agus Medina;M;ESP;N;31;D;N;Chu;Res;0
Antonio David;M;ESP;N;20;D;N;Pas;Agi;0
Antonio Pacheco;M;ESP;N;24;D;N;Dri;Agi;0
Capi;M;ESP;N;20;D;N;Arm;Agi;0
Javi Villar;M;ESP;N;23;D;N;Pas;Vis;0
Sergio Ortuño;M;ESP;N;27;D;S;Arm;Vis;0
Víctor San Bartolomé;M;ESP;N;26;D;S;Pas;Res;0
Agustín Albarracín;P;URY;N;20;E;N;Fin;Agi;0
Antonio Puertas;P;ESP;N;34;D;N;Fin;Cri;0
José Corpas;P;ESP;N;35;D;S;Cru;Res;0
Munir El Haddadi;P;MAR;N;30;E;N;Fin;Cri;0
Rober González;P;ESP;N;25;A;S;Pas;Agi;0
Victor Valverde;P;ESP;N;24;D;N;Dri;Ace;0
Higinio Marín;A;ESP;N;32;D;N;Fin;For;0
Mario Soberón;A;ESP;N;29;D;N;Fin;For;0
Samuel Obeng;A;GHA;N;29;E;N;Dri;Vel;0
Álex Rubio;A;ESP;N;24;D;S;Fin;Vel;0
