Almería;ESP;77;UD Almería Stadium;Xavier García Pimienta;ESP;FF0000;FFFFFF;15000
Andrés Fernández;G;ESP;N;39;D;S;Ref;Con;0
Bruno Iribarne;G;ESP;N;21;D;N;Ref;Fle;0
Daijiro Chirino;L;NLD;N;24;D;S;Des;Agi;0
Leonardo Lelo;L;PRT;N;26;E;N;Cru;Agi;0
Marcos Luna;L;ESP;N;23;D;N;Pas;Vel;0
Álex Muñoz;L;ESP;N;31;E;S;Cru;For;0
Chumi;Z;ESP;N;27;D;N;Cab;Vel;0
Federico Bonini;Z;ITA;N;24;E;S;Ant;Imp;0
Jorge Pulido;Z;ESP;N;35;D;S;Ant;For;0
Nélson Monte;Z;PRT;N;31;D;S;Ant;Imp;0
Pedro Fidel;Z;ESP;N;19;E;N;Pos;For;0
Rodrigo Ely;Z;BRA;N;32;D;N;Cab;Imp;0
Mikel Vesga;V;ESP;N;32;E;N;Ant;Con;0
Gui Guedes;M;PRT;N;24;D;N;Pas;Agi;0
Nico Melamed;M;ESP;N;25;D;N;Dri;Cri;0
Quim Junyent;M;ESP;N;19;A;N;Pas;Cri;0
Sergio Arribas;M;ESP;N;24;E;S;Fin;Fri;0
Stefan Dzodic;M;SRB;N;21;D;S;Pas;Res;0
Adrián Embarba;P;ESP;N;34;D;S;Cru;Cri;0
Brian Cipenga;P;COD;N;28;D;S;Arm;Ace;0
Jon Morcillo;P;ESP;N;27;E;N;Cru;Ace;0
Álex Pozo;P;ESP;N;27;D;N;Pas;Res;0
Álex Sola;P;ESP;N;27;D;S;Arm;Res;0
Ibrahima Koné;A;MLI;N;27;E;N;Fin;Vel;0
Léo Baptistão;A;BRA;N;33;D;N;Fin;Res;0
Miguel de la Fuente;A;ESP;N;26;D;N;Pas;For;0
Thalys;A;BRA;N;21;E;N;Cab;Imp;0
