Andorra;ESP;76;Nou Estadi Encamp;Carles Manso;ESP;000589;FFB600;5000
Jesús Owono;G;GNQ;N;25;A;N;Sgo;Fle;0
Nico Ratti;G;ARG;N;32;D;S;Ref;Con;0
Pau López;G;ESP;N;31;E;N;Ref;Con;0
Andoni López;L;ESP;N;30;E;N;Mar;Agi;0
Juan Sebastián;L;ESP;N;24;D;N;Cru;Res;0
Martí Vilà;L;ESP;N;27;E;S;Pas;Agi;0
Thomas Carrique;L;FRA;N;27;D;S;Des;Vel;0
Diego Alende;Z;ESP;N;28;D;S;Pos;Con;0
Gael Alonso;Z;ESP;N;24;D;S;Cab;Imp;0
Javier Vicario;Z;ESP;N;24;E;N;Mar;For;0
Lautaro Spatz;Z;ARG;N;24;D;N;Pos;For;0
Marc Bombardó;Z;ESP;N;20;D;S;Des;For;0
Efe Akman;V;TUR;N;20;D;S;Pas;Vis;0
Hugo Solozábal;M;ESP;N;23;D;N;Pas;Agi;0
Marc Doménech;M;ESP;N;23;E;S;Pas;Res;0
Nacho Quintana;M;ESP;N;25;D;N;Fin;Res;0
Randy Schneider;M;PHL;N;24;D;N;Arm;Agi;0
Sergio Molina;M;ESP;N;30;D;S;Pas;Vis;0
Théo Le Normand;M;FRA;N;26;D;S;Pas;Vis;0
Bilal Achhiba;P;ESP;N;21;D;N;Cru;Vel;0
Enes Sali;P;ROU;N;20;D;N;Dri;Ace;0
Hugo López;P;ESP;N;18;D;N;Pas;Res;0
Jordi Cano;P;ESP;N;31;D;N;Pas;Agi;0
Saba Samushia;P;GEO;N;19;D;N;Pas;Ace;0
Álex Calvo;P;ESP;N;22;E;N;Dri;Agi;0
Julian Rijkhoff;A;NLD;N;21;D;N;Fin;Vel;0
Lautaro de León;A;URY;N;25;D;S;Fin;For;0
Moro Sidibe;A;ESP;N;24;D;N;Pas;For;0
Stefan Golubovic;A;SRB;N;20;D;N;Pas;For;0
