Athletic Bilbao;ESP;85;San Mamés;Edin Terzic;DEU;FF0000;FFFFFF;53000
Unai Simón;G;ESP;S;29;D;S;Ref;Fle;0
Álex Padilla;G;MEX;N;22;D;N;Rbo;Fle;0
Adama Boiro;L;ESP;N;24;E;N;Mar;Ace;0
Hugo Rincón;L;ESP;N;23;D;N;Cru;Vel;0
Jesús Areso;L;ESP;N;27;D;N;Cru;Vel;0
Yuri Berchiche;L;ESP;N;36;E;S;Pas;Agi;0
Aitor Paredes;Z;ESP;N;26;D;S;Mar;For;0
Aymeric Laporte;Z;ESP;N;32;E;S;Cab;Con;4
Dani Vivian;Z;ESP;N;27;D;S;Ant;Con;0
Unai Egiluz;Z;ESP;N;24;D;N;Mar;Res;0
Yeray Álvarez;Z;ESP;N;31;D;N;Ant;Con;0
Beñat Prados;V;ESP;N;25;D;N;Ant;Agi;0
Mikel Jauregizar;V;ESP;N;22;D;S;Chu;Agi;0
Ruiz de Galarreta;V;ESP;N;33;D;S;Chu;Con;0
Alejandro Rego;M;ESP;N;23;D;N;Pas;Res;0
Beñat Gerenabarrena;M;ESP;N;23;D;N;Pas;Res;0
Oihan Sancet;M;ESP;N;26;D;S;Fin;Agi;0
Peio Canales;M;ESP;N;21;D;N;Arm;Cri;0
Selton Sánchez;M;ESP;N;19;D;N;Pas;Res;0
Unai Vencedor;M;ESP;N;25;D;N;Pas;Vis;0
Iñaki Williams;P;GHA;S;32;D;S;Pas;Ace;6
Nico Serrano;P;ESP;N;23;E;N;Pas;Res;0
Nico Williams;P;ESP;S;24;D;N;Fin;Cri;5
Robert Navarro;P;ESP;N;24;D;N;Dri;Vel;0
Álex Berenguer;P;ESP;N;31;D;S;Pas;Ace;0
Álvaro Djaló;P;GNB;N;26;D;N;Fin;Vel;0
Gorka Guruzeta;A;ESP;N;29;D;S;Cab;For;0
Maroan Sannadi;A;MAR;N;25;D;N;Dri;Vel;0
