Castellón;ESP;78;SkyFi Castalia;Pablo Hernández;ESP;000000;FFFFFF;15500
Amir Saipi;G;XKX;N;26;D;N;Rbo;For;0
Romain Matthys;G;BEL;N;28;D;S;Ref;Fle;0
Sergi Torner;G;ESP;N;22;D;N;Col;Con;0
Juanjo Nieto;L;ESP;N;31;D;S;Pos;For;0
Jérémy Mellot;L;FRA;N;32;D;S;Des;Res;0
Lucas Alcázar;L;ESP;N;24;E;S;Cru;Vel;0
Tincho Conde;L;ESP;N;23;E;N;Des;Ace;0
Agustín Sienra;Z;ARG;N;27;E;S;Ant;Vel;0
Alberto Jiménez;Z;ESP;N;33;D;S;Pos;Con;0
Fabrizio Brignani;Z;ITA;N;28;D;N;Cab;Imp;0
Federico Ceccherini;Z;ITA;N;33;D;N;Ant;Imp;0
Ilias Kostis;Z;GRC;N;23;E;N;Des;Imp;0
Matías Orozco;V;COL;N;18;D;N;Chu;For;0
Antonio Gala;M;ITA;N;22;D;S;Arm;Agi;0
Diego Barri;M;ESP;N;30;D;S;Pas;Res;0
Fran Castillo;M;ESP;N;29;D;N;Arm;Agi;0
Israel Suero;M;ESP;N;32;E;S;Fin;Fri;0
Jari Vlak;M;NLD;N;27;D;N;Pas;Vis;0
Hamza Bellari;P;MAR;N;23;E;N;Dri;Ace;0
Iñigo Córdoba;P;ESP;N;29;E;S;Cru;Res;0
Pablo Santiago;P;ESP;N;25;D;N;Pas;Agi;0
Raúl Sánchez;P;ESP;N;28;E;N;Fin;Vel;0
Rodrigo Rêgo;P;PRT;N;21;E;N;Dri;Ace;0
Álvaro Martín;P;ESP;N;25;E;N;Arm;Cri;0
Adam Jakobsen;A;DNK;N;27;D;S;Fin;For;0
Ousmane Camara;A;GIN;N;24;E;N;Dri;Vel;0
Álvaro García;A;ESP;N;26;D;N;Pas;Res;0
