Celta Fortuna;ESP;72;Barreiro;Fredi Álvarez;ESP;99CCFF;FFFFFF;1000
Caio Barone;G;BRA;N;20;D;N;Col;Imp;0
Coke Carrillo;G;ESP;N;24;D;S;Ref;Fle;0
Marcos González;G;ESP;N;20;D;N;Ref;Con;0
Jan Oliveras;L;ESP;N;22;E;S;Pas;Agi;0
Joel López;L;ESP;N;24;E;S;Pos;For;0
Pablo Gavián;L;ESP;N;20;D;N;Des;Vel;0
Alexis Olmedo;Z;ESP;N;20;D;S;Ant;Vel;0
Anthony Khayat;Z;ARE;N;19;D;N;Mar;Con;0
Anxo Rodríguez;Z;ESP;N;19;D;N;Des;For;0
Kike Ribes;Z;ESP;N;22;D;S;Des;For;0
Pablo Meixús;Z;ESP;N;23;D;S;Pos;Con;0
Seyni Mbaye Ndiaye;Z;SEN;N;21;D;S;Cab;Imp;0
Stefan Bajcetic;V;ESP;N;21;D;N;Chu;Vis;0
Adrià Capdevila;M;ESP;N;22;D;S;Pas;Vis;0
Aldrine Kibet;M;KEN;N;19;D;N;Fin;Agi;0
Andrés Antañón;M;ESP;N;19;D;N;Pas;Agi;0
Hugo Burcio;M;ESP;N;19;D;N;Chu;Vis;0
Hugo Cuenca;M;PRY;N;21;E;S;Dri;Cri;0
Óscar Marcos;M;ESP;N;20;D;N;Arm;Cri;0
Bernard Somuah;P;GHA;N;20;D;N;Dri;Ace;0
Germain Milla;P;CMR;N;20;D;N;Pas;Vel;0
Vlad;P;PRT;N;17;E;N;Dri;Ace;0
Ángel Arcos;P;ESP;N;20;D;S;Cru;Agi;0
Álvaro Marín;A;ESP;N;23;D;S;Fin;For;0
Ángel Davila;A;ESP;N;19;D;N;Dri;Vel;0
