Ceuta;ESP;73;Alfonso Murube;José Juan Romero;ESP;FFFFFF;FF0000;6500
Ayoub Akabou;G;FRA;N;19;D;N;Ref;Fle;0
Guillermo Vallejo;G;ESP;N;31;D;S;Ref;Con;0
Pedro López;G;ESP;N;31;D;N;Col;Con;0
Carlos Redru;L;ESP;N;29;E;N;Mar;For;0
José Matos;L;ESP;N;31;E;S;Pos;Agi;0
Álex Petxarroman;L;ESP;N;29;D;N;Cru;Agi;0
Adrián Lapeña;Z;ESP;N;30;D;N;Pos;Vel;0
Albert Caparrós;Z;ESP;N;27;D;N;Pos;Con;0
Carlos Hernández;Z;ESP;N;35;D;S;Cab;For;0
Ale Meléndez;M;ESP;N;27;D;N;Pas;Agi;0
Joaquín González;M;ESP;N;25;D;N;Pas;Vis;0
Kuki Zalazar;M;ESP;N;28;E;S;Arm;Agi;0
Marino Illescas;M;ESP;N;25;D;S;Pas;Vis;0
Mawuli Mensah;M;GHA;N;22;D;N;Pas;Res;0
Victor Corral;M;ESP;N;24;D;N;Pas;Vis;0
Yann Bodiger;M;FRA;N;31;E;S;Pas;Res;0
Alex Camacho;P;ESP;N;28;D;S;Pas;Agi;0
Anuar;P;MAR;N;31;D;S;Pas;Res;0
Cedric Teguia;P;ESP;N;24;E;S;Dri;Vel;0
Kenneth Mamah;P;NGA;N;28;D;N;Dri;Vel;0
Kialy Abdoul Kone;P;CIV;N;29;E;S;Dri;Agi;0
Salvi Sánchez;P;ESP;N;35;D;N;Cru;Res;0
Jordi Escobar;A;ESP;N;24;D;S;Fin;For;0
Omar Sadik;A;MAR;N;22;E;N;Dri;Vel;0
