Cultural Leonesa;ESP;66;Reino de León;Jandro Castro;ESP;FF0000;FFFFFF;13000
Miguel San Román;G;ESP;N;29;D;N;Col;Con;0
Miquel Parera;G;ESP;N;30;D;S;Ref;Con;0
Carlos Pomares;L;ESP;N;33;E;N;Pos;For;0
Guzmán Ortega;L;ESP;N;22;D;N;Des;Agi;0
Iago López;L;ESP;N;27;D;S;Pos;Agi;0
Oier López;L;ESP;N;24;E;S;Cru;Ace;0
Antxón Jaso;Z;ESP;N;28;E;S;Des;Imp;0
Jaime Vázquez;Z;ESP;N;20;E;S;Ant;Vel;0
Rodri Suárez;Z;ESP;N;23;D;N;Mar;For;0
Róber Pier;Z;ESP;N;31;D;N;Ant;Con;0
Adrián Ruiz;M;ESP;N;22;D;N;Arm;Agi;0
Assane Ndiaye;M;ESP;N;26;D;N;Pas;Agi;0
Bicho;M;ESP;N;30;E;S;Arm;Vis;0
Jon García;M;ESP;N;23;D;N;Pas;Agi;0
Sergi Maestre;M;ESP;N;35;D;S;Pas;Vis;0
Álex Cardero;M;ESP;N;23;D;S;Dri;Agi;0
Dani Queipo;P;ESP;N;24;D;S;Dri;Agi;0
Hugo García;P;ESP;N;20;D;N;Dri;Vel;0
Pedro Benito;P;ESP;N;26;D;S;Dri;Vel;0
Antón Escobar;A;ESP;N;28;D;N;Fin;For;0
Jorge Delgado;A;ESP;N;23;D;S;Fin;For;0
