Espanyol;ESP;84;RCDE Stadium;Manolo González;ESP;0000FF;FFFFFF;37500
Marko Dmitrovic;G;SRB;N;34;E;S;Ref;Con;0
Ángel Fortuño;G;ESP;N;24;D;N;Rbo;Fle;0
Andoni Gorosabel;L;ESP;N;30;D;S;Cru;Agi;0
Omar El Hilali;L;MAR;N;22;D;S;Des;Ace;0
Quilindschy Hartman;L;NLD;N;24;E;N;Pas;Vel;0
Clemens Riedel;Z;DEU;N;23;D;N;Pos;Con;0
Leandro Cabrera;Z;URY;N;35;E;S;Cab;Con;0
Roger Hinojo;Z;ESP;N;21;E;N;Pos;Con;0
Unai Núñez;Z;ESP;N;29;D;N;Des;For;0
Vanja Drkusic;Z;SVN;N;26;D;N;Cab;For;0
Gabriel Moscardo;V;BRA;N;20;D;N;Des;Agi;0
Pol Lozano;V;ESP;N;26;D;S;Chu;Con;0
Urko González de Zárate;V;ESP;N;25;D;S;Ant;Agi;0
Edu Expósito;M;ESP;N;30;D;S;Dri;Vis;0
Javi Hernández;M;ESP;N;22;E;N;Arm;Agi;0
Rafel Bauzà;M;ESP;N;21;D;N;Chu;Vis;0
Álex Calatrava;M;ESP;N;26;E;N;Fin;Cri;0
Bryan Zaragoza;P;ESP;N;24;D;N;Dri;Vel;0
Javi Puado;P;ESP;N;28;D;N;Fin;Res;0
Jofre Carreras;P;ESP;N;25;D;N;Dri;Ace;0
Pere Milla;P;ESP;N;33;E;S;Fin;Vel;0
Tyrhys Dolan;P;ENG;N;24;D;S;Dri;Vel;0
Kike García;A;ESP;N;36;D;S;Fin;Imp;0
Marcos Fernández;A;ESP;N;23;D;N;Fin;Res;0
Roberto Fernández;A;ESP;N;24;D;S;Fin;Res;0
