Granada;ESP;74;Nuevo Los Cármenes;Pacheta;ESP;C40E2E;FFFFFF;19000
Alberto Flores;G;ESP;N;22;E;N;Ref;Imp;0
Raúl Lizoain;G;ESP;N;35;E;S;Col;Con;0
Baïla Diallo;L;SEN;N;25;E;S;Cru;Ace;0
Diego Hormigo;L;ESP;N;23;E;N;Mar;For;0
Diego Pampín;L;ESP;N;26;E;N;Pas;Agi;0
Pau Casadesús;L;ESP;N;22;D;N;Pas;Res;0
Sergio López;L;ESP;N;27;D;S;Pos;Vel;0
Benedikt Gimber;Z;DEU;N;29;E;N;Mar;Res;0
Bourama Dembélé;Z;ESP;N;18;D;S;Des;Con;0
Juanjo Flores;Z;ESP;N;19;D;N;Pos;Con;0
Manu Lama;Z;ESP;N;25;D;S;Cab;Imp;0
Gerard Gumbau;V;ESP;N;31;E;S;Pas;Vis;0
Pedro Alemañ;M;ESP;N;24;E;S;Pas;Agi;0
Rubén Alcaraz;M;ESP;N;35;D;S;Chu;Vis;0
Abdoul Kader Bamba;P;FRA;N;32;D;N;Arm;Agi;0
José Manuel Arnáiz;P;ESP;N;31;D;S;Fin;Ace;0
Sergio Rodelas;P;ESP;N;21;E;S;Cru;Vel;0
Alejandro Marqués;A;VEN;N;26;D;N;Cab;Fri;0
Chinaza Onouha;A;NGA;N;21;D;S;Fin;For;0
Jorge Pascual;A;ESP;N;23;E;N;Pas;For;0
