Huesca;ESP;66;El Alcoraz;Raúl Jardiel;ESP;162374;BF122C;9000
Gianfranco Gazzaniga;G;ARG;N;32;D;S;Ref;Con;0
Álvaro Killane;G;ARG;N;21;D;S;Col;Con;0
Guillem Molina;L;ESP;N;26;D;N;Pos;For;0
Iván Rodríguez;L;AND;N;20;E;N;Des;Vel;0
Salva Ruiz;L;ESP;N;30;E;N;Pos;Res;0
Víctor García;L;VEN;N;32;D;S;Cru;Vel;0
Marc Aznar;Z;ESP;N;20;D;N;Pos;Con;0
Mohamed Djetei;Z;CMR;N;31;D;S;Des;For;0
Quique Fornos;Z;ESP;N;29;D;S;Ant;Con;0
Yann Kembo;Z;FRA;N;24;E;N;Pos;Con;0
Ander Gorostidi;M;ESP;N;30;D;S;Pas;Res;0
Jaime Escario;M;ESP;N;22;D;N;Fin;Res;0
Jimmy Suárez;M;ESP;N;29;D;S;Pas;Vis;0
Luismi Redondo;M;ESP;N;28;D;S;Fin;Agi;0
Mario García;M;ESP;N;29;D;N;Pas;Res;0
Pascu;M;ESP;N;26;D;N;Dri;Res;0
Óscar Sielva;M;ESP;N;34;D;S;Chu;Vis;0
Diego Collado;P;ESP;N;25;D;N;Dri;Vel;0
Diego Gómez;P;ESP;N;21;E;N;Fin;Cri;0
Douglas Aurélio;P;BRA;N;27;E;N;Arm;Cri;0
Rafa Tresaco;P;ESP;N;25;D;S;Dri;Vel;0
Agustín Juarez;A;ARG;N;21;D;N;Pas;For;0
Cristian Herrera;A;ESP;N;34;A;N;Fin;For;0
Diego Aznar;A;ESP;N;22;D;N;Fin;Res;0
Sergi Enrich;A;ESP;N;36;D;S;Cab;For;0
