Leganés;ESP;73;Butarque;Rubén Albés;ESP;0000FF;FFFFFF;12000
Luca Zidane;G;DZA;N;28;D;N;Rbo;Fle;0
Raúl Fernández;G;ESP;N;38;D;S;Col;Con;0
Enric Franquesa;L;ESP;N;29;E;S;Des;Agi;0
Marcos Leiva;L;ESP;N;21;D;N;Pas;Agi;0
Rubén Peña;L;ESP;N;34;D;S;Pas;Agi;0
Álvaro Tejero;L;ESP;N;30;A;S;Cru;Res;0
Ignasi Miquel;Z;ESP;N;33;E;S;Des;Imp;0
Javi Montero;Z;ESP;N;27;E;N;Pos;Imp;0
Lalo Aguilar;Z;ESP;N;24;A;S;Mar;Vel;0
Marvel;Z;ESP;N;23;E;N;Des;Vel;0
Rubén Pulido;Z;ESP;N;25;D;N;Des;Vel;0
Amadou Diawara;V;GIN;N;28;D;S;Ant;Vis;0
Dani Rodríguez;M;ESP;N;38;D;S;Arm;Vis;0
Gonzalo Melero;M;ESP;N;32;D;S;Fin;Fri;0
Miguel Atienza;M;ESP;N;27;D;N;Pas;Vis;0
Roberto López;M;ESP;N;26;E;N;Arm;Cri;0
Yassine Kechta;M;MAR;N;24;E;N;Chu;Vis;0
Zico Buurmeester;M;NLD;N;24;D;N;Fin;Res;0
Andrés Campos;P;ESP;N;24;D;N;Pas;Cri;0
Ismaël Gharbi;P;TUN;N;22;D;N;Dri;Vel;0
Naim García;P;ESP;N;24;E;S;Dri;Res;0
Patrick Soko;P;CMR;N;28;D;N;Arm;Vel;0
Álex Sancris;P;ESP;N;29;A;N;Cru;Ace;0
Unax del Cura;A;ESP;N;21;D;N;Pas;For;0
Álex Millán;A;ESP;N;26;D;S;Fin;Imp;0
