Mirandés;ESP;67;Anduva;Antxon Muneta;ESP;FF0000;000000;5500
Adrián Zango;G;ESP;N;20;D;N;Ref;Fle;0
Edgar Badia;G;ESP;N;34;D;N;Ref;Con;0
Jesús Ruiz;G;ESP;N;29;D;S;Col;Imp;0
Hodei Arrillaga;L;ESP;N;22;E;S;Mar;Ace;0
Iker Pedernales;L;ESP;N;27;D;S;Des;For;0
Martín Aguirregabiria;L;ESP;N;30;D;S;Pas;Res;0
Aritz Arambarri;Z;ESP;N;28;D;N;Des;Con;0
Joaquín Fernández;Z;ESP;N;30;D;S;Pos;Con;0
Peru Rodríguez;Z;ESP;N;24;D;N;Pos;Con;0
Adrián Verde;M;ESP;N;24;D;S;Pas;Agi;0
David Dela;M;ESP;N;23;D;S;Pas;Agi;0
Markel Lozano;M;ESP;N;30;D;S;Pas;Vis;0
Miguel Auría;M;ESP;N;21;D;N;Pas;Res;0
Raúl Martínez;M;ESP;N;24;D;S;Dri;Agi;0
Riki de Moraes;M;BRA;N;22;D;N;Fin;Agi;0
Arón Rodrigo;P;AND;N;21;D;N;Dri;Ace;0
Josué Dorrio;P;ESP;N;31;D;N;Dri;Vel;0
Nico Espinosa;P;ESP;N;25;D;S;Cru;Ace;0
Rodri Val;P;ESP;N;25;D;N;Cru;Agi;0
Aitor Uzkudun;A;ESP;N;25;D;N;Cab;Imp;0
Iker Unzueta;A;ESP;N;28;D;S;Fin;For;0
