Osasuna;ESP;85;El Sadar;Luis Miguel Ramis;ESP;BD0000;02000F;23500
Aitor Fernández;G;ESP;N;35;D;N;Ref;Fle;0
Sergio Herrera;G;ESP;N;33;D;S;Ref;Fri;0
Abel Bretones;L;ESP;N;25;E;S;Cru;Res;0
Diego Rico;L;ESP;N;33;E;N;Cru;For;0
Iñigo Arguibide;L;ESP;N;21;D;N;Cru;Ace;0
Valentin Rosier;L;FRA;N;29;D;S;Des;Vel;0
Alejandro Catena;Z;ESP;N;31;D;S;Cab;Con;0
Enzo Boyomo;Z;CMR;N;24;D;N;Des;Vel;0
Jorge Herrando;Z;ESP;N;25;E;S;Pos;For;0
Rockson Yeboah;Z;GHA;N;22;D;S;Cab;Vel;0
Iker Muñoz;V;ESP;N;23;D;N;Pas;Agi;0
Lucas Torró;V;ESP;N;32;D;S;Ant;For;0
Aimar Oroz;M;ESP;N;24;D;S;Dri;Vis;0
Asier Osambela;M;ESP;N;21;D;N;Fin;Agi;0
Jon Moncayola;M;ESP;N;28;D;S;Chu;Res;0
Moi Gómez;M;ESP;N;32;D;N;Pas;Vis;0
Jonathan Dubasin;P;ESP;N;26;D;N;Dri;Res;0
Kike Barja;P;ESP;N;29;D;N;Cru;Ace;0
Raúl Moro;P;ESP;N;23;D;N;Dri;Ace;0
Romain Del Castillo;P;FRA;N;30;E;N;Cru;Cri;0
Rubén García;P;ESP;N;33;E;S;Arm;Cri;0
Ante Budimir;A;HRV;N;34;E;S;Fin;Fri;0
Raúl García;A;ESP;N;25;D;N;Fin;For;0
