Rayo Vallecano;ESP;86;Estadio de Vallecas;Beñat San José;ESP;FFFFFF;FF0000;14500
Augusto Batalla;G;ARG;N;30;D;S;Ref;Fri;0
Dani Cárdenas;G;ESP;N;29;D;N;Ref;Fle;0
Adrià Pedrosa;L;ESP;N;28;E;N;Cru;Vel;0
Andrei Rațiu;L;ROU;N;28;D;S;Des;Vel;0
Iván Balliu;L;ALB;N;34;D;S;Mar;For;0
Florian Lejeune;Z;FRA;N;35;D;S;Des;Con;0
Jozhua Vertrouwd;Z;NLD;N;22;E;N;Pos;Vel;0
Luiz Felipe;Z;ITA;N;29;D;N;Mar;Con;0
Marash Kumbulla;Z;ALB;N;26;D;N;Cab;For;0
Mujaid Sadick;Z;ESP;N;26;D;N;Pos;Vel;0
Pelayo Fernández;Z;ESP;N;23;D;N;Cab;Con;0
Pathé Ciss;V;SEN;N;32;D;S;Des;For;0
Gnangoro Bouare;M;ESP;N;22;E;N;Pas;Cri;0
Pedro Díaz;M;ESP;N;28;D;N;Pas;Vis;0
Randy Nteka;M;AGO;N;28;E;S;Fin;Fri;0
Unai López;M;ESP;N;30;D;S;Arm;Vis;0
Óscar Valentín;M;ESP;N;32;D;S;Pas;Vis;0
Fran Pérez;P;ESP;N;23;D;N;Dri;Vel;0
Giorgi Tsitaishvili;P;GEO;N;25;E;N;Cru;Res;0
Jorge de Frutos;P;ESP;N;29;D;S;Fin;Res;0
Álvaro García;P;ESP;N;33;A;S;Arm;Vel;0
Alemão;A;BRA;N;28;D;N;Fin;For;0
Isi Palazón;A;ESP;N;31;E;N;Chu;For;0
Raúl de Tomás;A;ESP;N;31;D;N;Chu;Fri;0
Sergio Camello;A;ESP;N;25;D;S;Fin;Res;0
