Real Madrid;ESP;94;Santiago Bernabéu;José Mourinho;PRT;FFFFFF;004996;83000
Andriy Lunin;G;UKR;N;27;D;N;Col;Fle;0
Thibaut Courtois;G;BEL;S;34;E;S;Ref;Imp;0
Alexander-Arnold;L;ENG;N;27;D;N;Cru;Vel;0
Denzel Dumfries;L;NLD;N;30;D;N;Pos;Vel;0
Ferland Mendy;L;FRA;N;31;E;N;Des;Agi;0
Marc Cucurella;L;ESP;N;27;E;S;Pas;Vel;0
Álvaro Carreras;L;ESP;N;23;E;S;Pas;Agi;0
Antonio Rüdiger;Z;DEU;N;33;D;N;Pos;Con;0
Dean Huijsen;Z;ESP;N;21;A;S;Des;Imp;0
Ibrahima Konaté;Z;FRA;N;27;D;S;Cab;Imp;0
Raúl Asencio;Z;ESP;N;23;D;N;Pos;Con;0
Éder Militão;Z;BRA;N;28;D;N;Ant;Con;0
Camavinga;V;FRA;N;23;E;N;Des;Agi;0
Tchouaméni;V;FRA;N;26;D;S;Ant;Vis;0
Arda Güler;M;TUR;N;21;E;S;Arm;Vis;0
Bernardo Silva;M;PRT;S;31;E;S;Arm;Vis;0
Federico Valverde;M;URY;S;27;D;S;Arm;Vis;0
Jude Bellingham;M;ENG;S;23;D;N;Arm;Vis;0
Manuel Ángel;M;ESP;N;22;D;N;Pas;Vis;0
Thiago Pitarch;M;ESP;N;18;D;N;Pas;Agi;0
Brahim Díaz;P;MAR;N;26;A;N;Pas;Cri;0
Rodrygo;P;BRA;N;25;D;N;Arm;Cri;0
Vinicius Junior;P;BRA;S;26;D;S;Dri;Vel;0
Yan Diomande;P;CIV;S;19;D;N;Dri;Vel;0
Carlos Espí;A;ESP;N;20;D;N;Chu;Res;0
Endrick;A;BRA;S;19;E;N;Fin;For;0
Kylian Mbappé;A;FRA;S;27;D;S;Fin;Vel;0
