Real Oviedo;ESP;76;Carlos Tartiere;Julián Calero;ESP;0066FF;FFFFFF;30500
Aarón Escandell;G;ESP;N;30;D;S;Ref;Con;0
Miguel Narváez;G;ESP;N;24;D;N;Col;Con;0
David Jiménez;L;ESP;N;22;D;N;Cru;Res;0
Juan Cruz;L;ESP;N;33;E;N;Pos;For;0
Nacho Vidal;L;ESP;N;31;D;S;Des;Res;0
Samu Rodríguez;L;ESP;N;21;E;N;Pas;Agi;0
Carlos Domínguez;Z;ESP;N;25;E;N;Des;Vel;0
Dani Calvo;Z;ESP;N;32;D;S;Cab;Imp;0
David Costas;Z;ESP;N;31;D;S;Ant;Vel;0
Aisar Ahmed;M;ESP;N;25;D;S;Dri;Agi;0
Alberto Reina;M;ESP;N;28;D;S;Pas;Vis;0
Aritz Aldasoro;M;ESP;N;27;D;N;Chu;Agi;0
Dani Villahermosa;M;ESP;N;25;D;N;Arm;Agi;0
Luka Ilic;M;SRB;N;27;E;N;Arm;Vis;0
Mikel Goti;M;ESP;N;24;E;N;Chu;Fri;0
Youness Lachhab;M;MAR;N;27;E;S;Pas;Res;0
Brandon Dominguès;P;FRA;N;26;D;N;Pas;Agi;0
Estanis Pedrola;P;ESP;N;22;D;N;Dri;Vel;0
Ilyas Chaira;P;MAR;N;25;D;S;Arm;Agi;0
Jacobo González;P;ESP;N;29;D;S;Fin;Cri;0
Pablo Sáenz;P;ESP;N;25;E;N;Cru;Vel;0
Alexandru Ișfan;A;ROU;N;26;E;N;Dri;Vel;0
Carlos Fernández;A;ESP;N;29;E;S;Fin;For;0
Chris Ramos;A;ESP;N;29;D;S;Fin;Vel;0
Víctor Mingo;A;ESP;N;22;D;N;Fin;Vel;0
