Real Sociedad B;ESP;72;Instalaciones de Zubieta;Ion Ansotegi;ESP;0000FF;FFFFFF;2500
Aitor Fraga;G;ESP;N;23;D;S;Col;Fri;0
Jon Balda;L;ESP;N;24;E;S;Cru;Ace;0
Jon Garro;L;ESP;N;21;D;S;Mar;Agi;0
Unax Agote;L;ESP;N;23;E;N;Pas;Res;0
Eneko Astigarraga;Z;ESP;N;22;D;N;Ant;Vel;0
Iker Calderon;Z;ESP;N;20;D;N;Pos;Con;0
Iker Ropero;Z;ESP;N;20;E;N;Des;Imp;0
Luken Beitia;Z;ESP;N;22;D;S;Cab;For;0
Unax Ayo;Z;ESP;N;19;D;N;Mar;For;0
Alex Lebarbier;M;FRA;N;21;D;N;Dri;Vis;0
Gorka Gorosabel;M;ESP;N;20;D;S;Pas;Vis;0
Ibai Aguirre;M;ESP;N;19;D;S;Fin;Agi;0
Joan Oleaga;M;ESP;N;20;D;N;Pas;Agi;0
Jon Eceizabarrena;M;ESP;N;21;D;N;Chu;Res;0
Tomy Carbonell;M;ESP;N;21;D;S;Arm;Cri;0
Alex Marchal;P;ESP;N;18;D;N;Fin;Agi;0
Andrews Adjabeng;P;GHA;N;20;D;N;Dri;Ace;0
Dani Díaz;P;ESP;N;20;E;N;Pas;Agi;0
Job Ochieng;P;KEN;N;23;D;S;Dri;Vel;0
Lander Astiazaran;P;ESP;N;20;D;S;Cru;Ace;0
Mariezkurrena;P;ESP;N;21;E;S;Arm;Cri;0
Ekain Orobengoa;A;ESP;N;22;D;N;Cab;Imp;0
Gorka Carrera;A;ESP;N;21;E;S;Fin;For;0
Javier Soroeta;A;ESP;N;21;D;N;Dri;Vel;0
Sydney Osazuwa;A;ESP;N;19;D;N;Fin;Fri;0
