Sabadell;ESP;73;Nova Creu Alta;Ferran Costa;ESP;FFFFFF;00367D;11500
Diego Fuoli;G;ESP;N;28;D;S;Col;Imp;0
José Ortega;G;ESP;N;34;D;N;Ref;Con;0
Marc Vidal;G;ESP;N;26;D;N;Ref;Fle;0
Genar Fornés;L;ESP;N;26;E;N;Pos;For;0
Pipa;L;ESP;N;28;D;N;Cru;Vel;0
Arthur Bonaldo;Z;BRA;N;30;A;S;Des;For;0
Edgar González;Z;ESP;N;29;D;S;Pos;Con;0
Hudson Davis;Z;USA;N;20;E;N;Ant;Vel;0
José Luis Català;Z;ESP;N;22;D;N;Mar;For;0
Kaiser;Z;ESP;N;30;D;N;Mar;Res;0
Miki Codina;Z;ESP;N;24;E;S;Pos;Vel;0
Pere Pons;V;ESP;N;33;D;S;Des;Res;0
Alain Ribeiro;M;ESP;N;29;E;N;Chu;Res;0
Albert Orriols;M;ESP;N;28;D;S;Pas;Vis;0
Eneko Aguilar;M;ESP;N;26;E;N;Dri;Agi;0
Quadri Liameed;M;NGA;N;24;D;S;Pas;Res;0
Óscar Sanz;M;ESP;N;26;D;S;Pas;Vis;0
Javi López;P;ESP;N;25;D;N;Cru;Vel;0
Joel Priego;P;ESP;N;27;E;S;Dri;Agi;0
Ton Ripoll;P;ESP;N;28;D;S;Pas;Vel;0
Xavi Moreno;P;ESP;N;21;E;N;Dri;Agi;0
Yanis Rahmani;P;FRA;N;31;E;N;Dri;Ace;0
Agustín Coscia;A;ARG;N;29;E;N;Fin;For;0
Gastón Valles;A;URY;N;25;E;N;Cab;Imp;0
Miguelete;A;ESP;N;25;D;N;Dri;Vel;0
Nicholas Gioacchini;A;USA;N;26;D;S;Cab;Res;0
Nikolay Obolskiy;A;RUS;N;29;E;N;Pas;For;0
Quim Utgés;A;ESP;N;21;D;N;Fin;Vel;0
