Sporting Gijón;ESP;75;El Molinón;Nicolás Larcamón;ARG;FF0000;FFFFFF;29000
Egoitz Arana;G;ESP;N;24;E;N;Col;Con;0
Rubén Yáñez;G;ESP;N;32;D;S;Ref;Con;0
Guille Rosas;L;ESP;N;26;D;S;Cru;Res;0
Pablo García;L;ESP;N;26;E;N;Pas;Agi;0
Aimar Duñabeitia;Z;ESP;N;23;D;N;Pos;Con;0
Andrés Cuenca;Z;ESP;N;19;E;N;Pos;Con;0
Diego Sánchez;Z;ESP;N;23;E;N;Pos;Vel;0
Emanuel Gularte;Z;URY;N;28;D;N;Mar;Res;0
Jorge Sáenz;Z;ESP;N;29;D;S;Ant;Con;0
Pablo Vázquez;Z;ESP;N;31;D;S;Cab;For;0
Hugo Guillamón;V;ESP;N;26;D;S;Pas;Con;0
Mamadou Loum;V;SEN;N;29;D;S;Des;For;0
César Gelabert;M;ESP;N;25;D;S;Arm;Agi;0
Manu Rodríguez;M;ESP;N;20;D;N;Pas;Agi;0
Nacho Martín;M;ESP;N;24;D;S;Pas;Vis;0
Àlex Corredera;M;ESP;N;30;E;S;Pas;Vis;0
Gaspar Campos;P;ESP;N;26;D;S;Fin;Agi;0
Juan Otero;P;COL;N;31;D;S;Fin;Vel;0
Konrad de la Fuente;P;USA;N;24;D;N;Dri;Ace;0
Nikita Iosifov;P;RUS;N;25;D;N;Dri;Ace;0
Alejo Sarco;A;ARG;N;20;E;N;Fin;Vel;0
Antonio Casas;A;ESP;N;26;D;N;Fin;Res;0
