Tenerife;ESP;74;Heliodoro Rodríguez López;Álvaro Cervera;ESP;FFFFFF;2C3792;22500
Dani Martín;G;ESP;N;28;D;S;Ref;Fle;0
Gabriel De Vuyst;G;ESP;N;22;D;N;Sgo;Con;0
César Álvarez;L;ESP;N;23;D;N;Mar;Vel;0
David Rodríguez;L;ESP;N;26;D;S;Des;Vel;0
Marc Mateu;L;ESP;N;36;E;S;Pas;Agi;0
Roko Jureskin;L;HRV;N;25;E;N;Cru;Ace;0
Anthony Landázuri;Z;ECU;N;29;D;S;Des;For;0
Jorge Moreno;Z;ESP;N;25;D;N;Ant;Vel;0
José León;Z;ESP;N;31;E;S;Pos;Con;0
Neal Viereck;Z;NLD;N;22;D;N;Mar;For;0
Mauro Pittón;V;ARG;N;32;D;S;Des;Con;0
Anes Krdzalic;M;BIH;N;21;D;N;Pas;Vis;0
Dani Fernández;M;ESP;N;18;E;N;Pas;Agi;0
Fabricio;M;BRA;N;28;D;S;Dri;Res;0
Jesús Álvarez;M;ESP;N;26;D;N;Pas;Res;0
Juanjo Sánchez;M;ESP;N;26;D;N;Pas;Vis;0
Alassan Manjam;P;GNB;N;23;D;N;Dri;Vel;0
Baba Diocou;P;ESP;N;21;D;N;Dri;Ace;0
Iván Chapela;P;ESP;N;27;D;S;Cru;Agi;0
Nacho Gil;P;ESP;N;30;D;S;Arm;Cri;0
Víctor Moreno;P;ESP;N;20;D;N;Pas;Agi;0
Christian Gomis;A;SEN;N;25;D;N;Fin;For;0
Enric Gallego;A;ESP;N;39;E;S;Cab;For;0
Grant-Leon Ranos;A;ARM;N;23;D;N;Fin;Fri;0
Jesús de Miguel;A;ESP;N;29;E;S;Fin;Fri;0
Martin Pecar;A;SVN;N;24;D;N;Chu;Res;0
Noel López;A;ESP;N;23;D;N;Dri;Res;0
