Valencia;ESP;87;Mestalla;Carlos Corberán;ESP;FFFFFF;000000;49000
Cristian Rivero;G;ESP;N;28;D;N;Ref;Con;0
Kayne van Oevelen;G;NLD;N;22;D;N;Ref;Fle;0
Stole Dimitrievski;G;MKD;N;32;D;S;Ref;Con;0
Arnau Martínez;L;ESP;N;23;D;N;Des;Ace;0
Dimitri Foulquier;L;GLP;N;33;D;N;Des;For;0
Jesús Vázquez;L;ESP;N;23;E;N;Des;Vel;0
José Gayà;L;ESP;N;31;E;S;Cru;Res;0
César Tárrega;Z;ESP;N;24;D;S;Mar;Con;0
Iker Córdoba;Z;ESP;N;20;E;N;Des;Vel;0
José Copete;Z;ESP;N;26;E;S;Ant;For;0
Justin de Haas;Z;NLD;S;26;E;S;Des;Res;0
Mouctar Diakhaby;Z;GIN;N;29;D;N;Cab;For;0
Aliou Dieng;V;MLI;N;28;D;N;Ant;Con;0
Guido Rodríguez;V;ARG;N;32;D;N;Des;Con;0
Pepelu;V;ESP;N;27;D;S;Pas;Vis;0
Filip Ugrinic;M;CHE;N;27;D;N;Arm;Res;0
Harvey Elliott;M;ENG;N;23;E;N;Chu;Cri;0
Javi Guerra;M;ESP;N;23;D;S;Arm;Agi;0
Arnaut Danjuma;P;NLD;N;29;D;S;Dri;Vel;0
Diego López;P;ESP;N;24;D;S;Fin;Res;0
Luis Rioja;P;ESP;N;32;E;S;Cru;Vel;0
Ryunosuke Sato;P;JPN;N;19;D;N;Fin;Agi;0
Sergi Canós;P;ESP;N;29;D;N;Dri;Cri;0
Dani Raba;A;ESP;N;30;E;N;Pas;Fri;0
Hugo Duro;A;ESP;N;26;E;S;Fin;Res;6
Umar Sadiq;A;NGA;N;29;D;N;Fin;For;0
