Villarreal;ESP;88;La Cerámica;Iñigo Pérez;ESP;FFFF00;0073FF;23000
Luiz Júnior;G;BRA;N;25;E;S;Ref;Fle;0
Péter Gulácsi;G;HUN;N;36;D;N;Col;For;0
Rubén Gómez;G;ESP;N;24;D;N;Ref;Imp;0
Alex Freeman;L;USA;N;22;D;N;Pos;Res;0
Carlos Romero;L;ESP;N;24;E;S;Des;Agi;0
Pau Navarro;L;ESP;N;21;D;N;Des;For;0
Santiago Mouriño;L;URY;N;24;D;S;Des;For;0
Sergi Cardona;L;ESP;N;27;A;N;Pas;Vel;0
Juan Foyth;Z;ARG;N;28;D;S;Ant;Imp;0
Logan Costa;Z;CPV;N;25;D;N;Cab;Con;0
Renato Veiga;Z;PRT;N;23;E;S;Ant;Con;0
Pape Gueye;V;SEN;N;27;E;S;Des;Vis;0
Santi Comesaña;V;ESP;N;29;A;S;Ant;Vis;0
Alassane Diatta;M;SEN;N;21;E;N;Pas;Res;0
Carlos Macià;M;ESP;N;17;D;N;Pas;Res;0
Nathan Saliba;M;CAN;N;22;D;N;Pas;Vis;0
Alberto Moleiro;P;ESP;N;22;D;S;Fin;Agi;0
Ilias Akhomach;P;MAR;N;22;E;N;Dri;Cri;0
Nicolas Pépé;P;CIV;N;31;E;S;Pas;Cri;0
Tajon Buchanan;P;CAN;N;27;D;N;Fin;Agi;0
Ayoze Pérez;A;ESP;N;33;D;S;Fin;For;0
Georges Mikautadze;A;GEO;N;25;D;S;Fin;For;0
Gerard Moreno;A;ESP;S;34;E;N;Pas;Vel;0
Tani Oluwaseyi;A;CAN;N;26;E;N;Pas;Imp;0
