Angers;FRA;80;Stade Raymond Kopa;Stéphane Gilli;FRA;000000;FFFFFF;18500
Anthony Lopes;G;PRT;N;35;E;S;Ref;Con;0
Melvin Zinga;G;FRA;N;24;E;N;Sgo;Con;0
Oumar Pona;G;MLI;N;20;D;N;Ref;Fle;0
Carlens Arcus;L;HTI;N;30;D;S;Des;Ace;0
Joseph Kalulu;L;FRA;N;21;E;N;Cru;Vel;0
Lilian Raolisoa;L;FRA;N;26;D;S;Cru;Res;0
Marius Louër;L;FRA;N;19;D;N;Des;Vel;0
Emmanuel Biumla;Z;FRA;N;21;D;N;Mar;Res;0
Jordan Lefort;Z;FRA;N;32;E;S;Des;Vel;0
Ousmane Camara;Z;MLI;N;23;D;S;Pos;Con;0
Branco van den Boomen;M;NLD;N;31;D;S;Pas;Cri;0
Haris Belkebla;M;DZA;N;32;D;S;Chu;Res;0
Louis Mouton;M;FRA;N;24;D;S;Arm;Vis;0
Yassin Belkhdim;M;MAR;N;24;D;S;Dri;Cri;0
Amine Sbaï;P;MAR;N;25;D;S;Dri;Ace;0
Anthony Bermont;P;FRA;N;21;D;N;Cru;Agi;0
Harouna Djibirin;P;CMR;N;19;E;N;Cru;Ace;0
Jim Allevinah;P;GAB;N;31;D;N;Dri;Vel;0
Amine El Ouazzani;A;MAR;N;25;E;N;Fin;Vel;0
Prosper Peter;A;FRA;N;18;D;S;Cab;Fri;0
Usman Simbakoli;A;CAF;N;24;E;N;Fin;Fri;0
