Auxerre;FRA;83;Stade de l'Abbé-Deschamps;Will Still;ENG;FFFFFF;1862F5;21000
Louis Mezerette;G;FRA;N;19;D;N;Col;Con;0
Mamadou Diop;G;MRT;N;26;D;N;Ref;For;0
Paul Nardi;G;FRA;N;31;D;S;Ref;Fle;0
Fredrik Oppegård;L;NOR;N;23;E;N;Pas;Ace;0
Lamine Sy;L;FRA;N;23;D;S;Des;Vel;0
Marvin Senaya;L;FRA;N;25;D;S;Cru;For;0
Sékou Fofana;L;FRA;N;23;E;N;Mar;Vel;0
Alvin Petit Dol;Z;FRA;N;19;D;N;Cab;Res;0
Axel Tuanzebe;Z;COD;N;28;D;N;Ant;Con;0
Bryan Okoh;Z;CHE;N;23;E;N;Pos;For;0
Christ Makosso;Z;COG;N;22;D;N;Des;Vel;0
Clément Akpa;Z;CIV;N;24;E;S;Cab;Imp;0
Elikya Legros;Z;FRA;N;18;D;N;Ant;For;0
Francisco Sierralta;Z;CHL;N;29;D;S;Mar;Con;0
Sinaly Diomandé;Z;CIV;N;25;D;S;Des;Res;0
Telli Siwe;Z;FRA;N;21;D;N;Ant;For;0
Arthur Piedfort;V;BEL;N;21;D;N;Pas;For;0
Assane Dioussé;V;SEN;N;28;E;S;Chu;Vis;0
Pierre Ekwah;V;FRA;N;24;E;N;Des;For;0
Kévin Danois;M;FRA;N;22;D;S;Pas;Vis;0
Naouirou Ahamada;M;FRA;N;24;D;N;Chu;Agi;0
Romain Faivre;M;FRA;N;28;E;N;Dri;Cri;0
Tidiane Devernois;M;FRA;N;18;D;N;Arm;Agi;0
Danny Namaso;P;CMR;N;25;D;S;Dri;Vel;0
Josué Casimir;P;HTI;N;24;D;S;Cru;Ace;0
Lasso Coulibaly;P;CIV;N;23;D;N;Fin;Cri;0
Cameron Archer;A;ENG;N;24;D;N;Fin;Vel;0
Ryan Rodin;A;FRA;N;20;D;N;Cab;Imp;0
Rémy Labeau Lascary;A;FRA;N;23;D;S;Pas;Fri;0
Xiangxin Wei;A;CHN;N;18;D;N;Dri;Vel;0
