Bastia;FRA;63;Stade Armand-Cesari;Réginald Ray;FRA;0052DC;CECEE0;16000
Luca Pausé;G;FRA;N;20;D;N;Ref;Con;0
Sacha Contena;G;FRA;N;20;D;N;Rbo;Con;0
Théo De Percin;G;FRA;N;25;D;S;Ref;Con;0
Cléo Mélières;L;FRA;N;21;D;S;Cru;Res;0
Isaac Monnier;L;FRA;N;19;D;N;Pos;Agi;0
Anthony Roncaglia;Z;FRA;N;25;D;S;Des;For;0
David Djédjé;Z;CIV;N;19;D;N;Mar;Con;0
Dramane Diarra;Z;MLI;N;19;D;N;Ant;Con;0
Gustave Akueson;Z;TGO;N;30;D;S;Cab;Imp;0
Noah Zilliox;Z;FRA;N;23;D;S;Ant;For;0
Joachim Eickmayer;V;FRA;N;33;D;S;Ant;For;0
Matteo Petrignani;V;FRA;N;20;E;S;Des;Vis;0
Alexandre Zaouai;M;CIV;N;21;D;S;Arm;Fri;0
Lakhdar Belal;M;FRA;N;26;D;N;Pas;Cri;0
Erawan Garnier;P;THA;N;20;D;N;Dri;Agi;0
Félix Tomi;P;FRA;N;25;D;S;Dri;Agi;0
Clément Rodrigues;A;FRA;N;25;D;N;Fin;Res;0
Daouda Tamba;A;SEN;N;19;D;N;Fin;Vel;0
Maxime Blé;A;FRA;N;24;D;S;Dri;Vel;0
Mohamed Boumaaoui;A;FRA;N;21;D;N;Cab;Imp;0
Ruben Beliandjou;A;FRA;N;21;E;S;Fin;For;0
