Boulogne;FRA;68;Stade de la Libération;Fabien Dagneaux;FRA;000000;FF0000;9500
Azamat Uriev;G;FRA;N;22;D;S;Ref;Con;0
Blondy Nna Noukeu;G;CMR;N;25;D;N;Sgo;Fle;0
Ibrahim Koné;G;GIN;N;36;D;N;Ref;Imp;0
Xavier Lenogue;G;MTQ;N;29;D;N;Rbo;Fri;0
Demba Thiam;L;FRA;N;36;E;S;Cru;Agi;0
Julien Boyer;L;FRA;N;28;E;S;Mar;Agi;0
Louis Siliadin;L;FRA;N;24;E;N;Cru;Ace;0
Oscar Lenne;L;FRA;N;19;D;N;Mar;Agi;0
Sonny Duflos;L;FRA;N;31;D;S;Pos;Vel;0
Zoran Moco;L;GLP;N;23;D;N;Cru;Vel;0
Adrien Pinot;Z;FRA;N;25;D;S;Pos;Con;0
Antoine Kerriou;Z;FRA;N;22;D;N;Des;For;0
Jonathan Kapenga;Z;FRA;N;22;D;N;Des;For;0
Théo Brusco;Z;FRA;N;26;D;N;Pos;Con;0
Joffrey Bultel;V;FRA;N;26;D;S;Mar;For;0
Jonas Martin;V;FRA;N;36;D;S;Pas;Vis;0
Nolan Binet;V;FRA;N;22;D;S;Mar;Con;0
Abdel Hbouch;M;FRA;N;27;D;S;Arm;Agi;0
Aurélien Platret;P;FRA;N;23;D;S;Pas;Vel;0
Aymane Nassiri;P;FRA;N;21;E;N;Dri;Ace;0
Noah Fatar;P;FRA;N;24;E;S;Arm;Res;0
Sohan Paillard;P;FRA;N;22;D;N;Fin;Agi;0
Théo Epailly;P;FRA;N;27;D;N;Dri;Agi;0
Benjamin Bešić;A;BIH;N;24;D;N;Fin;For;0
Martin Lecolier;A;FRA;N;23;D;N;Cab;Fri;0
