Brest;FRA;83;Stade Francis-Le Blé;Julien Lachuer;FRA;ED1C24;FFFFFF;15500
Egil Selvik;G;NOR;N;28;E;N;Rbo;Con;0
Mathieu Patouillet;G;FRA;N;22;E;S;Ref;Fle;0
Noé Poillion;G;FRA;N;19;D;N;Ref;Con;0
Bradley Locko;L;FRA;N;24;E;S;Cru;Vel;0
Justin Bourgault;L;FRA;N;20;E;N;Des;Res;0
Kenny Lala;L;FRA;N;34;D;S;Cru;For;0
Luck Zogbé;L;CIV;N;21;D;N;Pas;Res;0
Brendan Chardonnet;Z;FRA;N;31;D;S;Pos;For;0
Gautier Lloris;Z;FRA;N;31;E;N;Mar;Con;0
Raphaël Le Guen;Z;FRA;N;19;D;N;Pos;Res;0
Hamidou Makalou;V;MLI;N;20;D;N;Pas;Con;0
Joris Chotard;V;FRA;N;24;D;S;Mar;Con;0
Mamady Diambou;V;MLI;N;23;D;N;Des;Vis;0
Hugo Magnetti;M;FRA;N;28;D;S;Fin;Cri;0
Joseph Nonge;M;BEL;N;21;A;N;Dri;Agi;0
Kamory Doumbia;M;MLI;N;23;D;S;Pas;Vis;0
Lucas Tousart;M;FRA;N;29;D;S;Chu;Cri;0
Axel Camblan;P;FRA;N;22;D;N;Fin;Cri;0
Noah Edjouma;P;FRA;N;20;E;N;Pas;Vel;0
Pathé Mboup;P;SEN;N;22;D;S;Dri;Vel;0
Ludovic Ajorque;A;FRA;N;32;E;S;Fin;Imp;0
Mama Baldé;A;GNB;N;30;D;S;Chu;Imp;0
