Dijon;FRA;69;Stade Gaston-Gérard;Baptiste Ridira;FRA;CC0729;FFFFFF;16000
Paul Delecroix;G;FRA;N;37;D;S;Ref;Imp;0
César Obongo;L;COG;N;20;D;N;Mar;Agi;0
Ismaïl Bouleghcha;L;MAR;N;23;D;N;Cru;Vel;0
Moussa Faty;L;FRA;N;26;E;S;Pas;For;0
Anass Benyahya;Z;MAR;N;22;D;N;Des;Vel;0
Axel Bargain;Z;FRA;N;20;E;N;Mar;For;0
Lenny Lacroix;Z;FRA;N;23;D;S;Ant;For;0
Quentin Bernard;Z;FRA;N;37;E;S;Pos;Con;0
Waly Diouf;Z;SEN;N;29;D;N;Cab;Imp;0
Brandon Ndezi;V;FRA;N;26;E;S;Des;For;0
Paul Bellon;V;FRA;N;26;D;S;Pas;Con;0
Adel Lembezat;M;FRA;N;27;D;N;Dri;Agi;0
Ben-Chayeel Hamada;M;COM;N;23;D;S;Dri;Agi;0
Hugo Vargas-Ríos;M;FRA;N;31;E;N;Pas;Res;0
Jordan Marié;M;FRA;N;34;D;S;Pas;Vis;0
Michaël Barreto;M;FRA;N;35;D;S;Arm;Cri;0
Samy Chouchane;M;TUN;N;22;D;N;Pas;Agi;0
Abdelmajid Djae;P;COM;N;21;D;N;Dri;Ace;0
Florian Rombogouera;P;FRA;N;20;D;N;Pas;Agi;0
Alexis Ntamack;A;FRA;N;22;D;S;Fin;Vel;0
Julio Tavarès;A;CPV;N;37;A;N;Cab;Imp;0
Yanis Barka;A;FRA;N;28;D;S;Pas;Res;0
