Dunkerque;FRA;72;Stade Marcel-Tribut;Albert Sánchez;ESP;006FFF;FFFFFF;4500
Maxence Prévot;G;FRA;N;29;D;N;Ref;Con;0
Moha Ramos;G;ESP;N;26;D;N;Col;For;0
Mouhamed Sissokho;G;SEN;N;21;D;S;Ref;Fri;0
Allan Linguet;L;FRA;N;26;D;S;Pas;Res;0
Lenny Dziki Loussilaho;L;COG;N;21;D;N;Cru;Agi;0
Lenny Vallier;L;FRA;N;27;E;S;Des;For;0
Maedine Makhloufi;L;FRA;N;21;D;N;Mar;Res;0
Bram Lagae;Z;BEL;N;22;E;S;Mar;Vel;0
Opa Sangante;Z;GNB;N;35;D;S;Cab;For;0
Ousmane Touré;Z;FRA;N;21;D;N;Des;Res;0
Victor Mayela;Z;FRA;N;22;E;S;Pos;Res;0
Franck Atoen;V;CMR;N;20;D;N;Des;For;0
Steven Nzonzi;V;FRA;N;37;D;S;Pas;For;0
Théna Massock;V;FRA;N;18;E;S;Des;Vis;0
Adrien Lebeau;M;FRA;N;27;D;S;Arm;Vis;0
Egor Prutsev;M;RUS;N;23;D;N;Dri;Agi;0
Jordan Morel;M;FRA;N;23;D;N;Pas;Res;0
Marco Decherf;M;FRA;N;19;D;N;Pas;Agi;0
Alex Daho;P;FRA;N;22;D;S;Fin;Cri;0
Khalil Ayari;P;TUN;N;21;E;N;Dri;Cri;0
Souleymane Keita;P;FRA;N;20;D;N;Cru;Res;0
Enzo Mayilla;A;FRA;N;20;D;N;Fin;Vel;0
Pape Malick Dieng;A;SEN;N;22;D;S;Fin;For;0
