Grenoble;FRA;70;Stade des Alpes;Olivier Frapolli;FRA;014898;FFFFFF;20000
Alexandre Olliero;G;FRA;N;30;D;S;Ref;Con;0
Bobby Allain;G;FRA;N;34;D;N;Rbo;Imp;0
Théo Borne;G;FRA;N;24;D;N;Ref;Con;0
Ange Loïc N'Gatta;L;CIV;N;22;D;N;Cru;Agi;0
Christ-Owen Kouassi;L;CIV;N;23;D;N;Des;Vel;0
Mathieu Mion;L;FRA;N;25;E;N;Pos;Vel;0
Matthéo Xantippe;L;FRA;N;24;E;S;Mar;Res;0
Sakhalou Niakaté;L;FRA;N;20;D;N;Mar;For;0
Clément Vidal;Z;FRA;N;26;D;S;Des;Vel;0
Efe Sarıkaya;Z;TUR;N;20;E;S;Des;For;0
Farouq Limouri;Z;NLD;N;23;D;N;Pos;Con;0
Samba Diba;V;SEN;N;22;D;S;Ant;Con;0
Yohann Magnin;V;FRA;N;29;D;S;Des;Res;0
Baptiste Mouazan;M;FRA;N;24;D;N;Fin;Cri;0
Lucas Bernadou;M;FRA;N;25;D;S;Arm;Vis;0
Mael Corboz;M;USA;N;31;D;S;Pas;Vis;0
Dillon Hoogewerf;P;NLD;N;23;D;N;Dri;Ace;0
Jean-Guy Akpa Akpro;P;FRA;N;21;D;S;Fin;Ace;0
Mamady Bangré;P;BFA;N;25;E;N;Dri;Vel;0
Nesta Zahui;P;FRA;N;23;D;S;Arm;Agi;0
Zé Leite;P;PRT;N;26;D;N;Fin;Ace;0
Arthur Lallias;A;FRA;N;23;D;N;Cab;Res;0
Leonardo Cerri;A;ITA;N;23;A;N;Cab;Imp;0
Mohamed Bechikh;A;FRA;N;21;D;N;Fin;Res;0
Moussa Djitté;A;SEN;N;26;D;N;Dri;Imp;0
Ugo Bonnet;A;FRA;N;32;D;S;Cab;Vel;0
