Le Havre;FRA;82;Stade Océane;Didier Digard;FRA;11A4D9;122E60;25000
Gauthier Gallon;G;FRA;N;33;D;N;Ref;Con;0
Lionel Mpasi-Nzau;G;COD;N;32;D;S;Ref;Con;0
Paul Argney;G;FRA;N;20;D;N;Col;Fle;0
Elias Jelert;L;DNK;N;23;D;N;Cru;Res;0
Enzo Koffi;L;FRA;N;20;E;S;Des;Agi;0
Timothée Pembélé;L;FRA;N;23;D;S;Pas;Agi;0
Yanis Zouaoui;L;FRA;N;28;E;N;Cru;For;0
Ahmed Touba;Z;DZA;N;28;E;N;Des;Imp;0
Stephan Zagadou;Z;FRA;N;17;D;N;Pos;Vel;0
Vincent Sasso;Z;FRA;N;35;D;S;Des;Imp;0
Ayumu Seko;V;JPN;N;26;D;S;Chu;Con;0
Daren Mosengo;V;FRA;N;20;D;N;Des;For;0
Junior Mwanga;V;FRA;N;23;A;S;Pas;Vis;0
Amir Richardson;M;MAR;N;24;E;S;Pas;Agi;0
Guy-Noël Zohouri;M;CIV;N;19;D;N;Fin;Res;0
Ismaïl Bouneb;M;FRA;N;20;D;N;Fin;Cri;0
Kaito Mizuta;M;JPN;N;26;A;N;Dri;Agi;0
Rassoul Ndiaye;M;SEN;N;24;D;S;Arm;Res;0
Simon Ebonog;M;FRA;N;22;D;S;Fin;Res;0
Felix Mambimbi;P;CHE;N;25;D;N;Fin;Ace;0
Ally Samatta;A;TZA;N;33;D;S;Cab;Res;0
Elysée Logbo;A;FRA;N;22;E;N;Pas;For;0
Joan Tincrès;A;FRA;N;20;D;N;Dri;Vel;0
Josh Maja;A;NGA;N;27;D;N;Fin;For;0
Rayan Fofana;A;FRA;N;20;D;S;Pas;Vel;0
Sota Nakamura;A;JPN;N;23;D;N;Fin;Res;0
