Le Mans;FRA;81;Stade Marie-Marvingt;Patrick Videira;FRA;991319;DEAA1B;25000
Augustin Delbecque;G;FRA;N;24;D;N;Col;Imp;0
Ewan Hatfout;G;FRA;N;26;D;N;Ref;Con;0
Nicolas Kocik;G;FRA;N;28;D;S;Sgo;For;0
Djibril Sidibé;L;FRA;N;34;D;N;Pas;Res;0
Noa Boissé;L;FRA;N;20;D;S;Pos;Agi;0
Rayan Bamba;L;FRA;N;22;D;S;Pas;Res;0
Yasser Larouci;L;DZA;N;25;E;S;Cru;Vel;0
Harold Voyer;Z;MTQ;N;29;E;N;Cab;Con;0
Raúl Torrente;Z;ESP;N;24;E;N;Mar;For;0
Samuel Yohou;Z;FRA;N;35;D;N;Des;For;0
Théo Eyoum;Z;FRA;N;24;D;S;Pos;Res;0
Alexandre Lauray;V;FRA;N;29;D;S;Ant;Con;0
Lucas Bretelle;V;FRA;N;24;D;N;Des;For;0
Daouda Traoré;M;FRA;N;20;D;N;Pas;Agi;0
Edwin Quarshie;M;FRA;N;30;D;N;Pas;Vis;0
Jean Vercruysse;M;FRA;N;26;D;N;Chu;Fri;0
Martin Rossignol;M;FRA;N;22;D;N;Pas;Vis;0
Milan Robin;M;FRA;N;26;D;N;Arm;Fri;0
Adil Bourabaa;P;FRA;N;21;D;S;Cru;Agi;0
Billal Brahimi;P;DZA;N;26;E;N;Dri;Ace;0
Erwan Colas;P;FRA;N;29;D;N;Fin;Res;0
Lucas Buadés;P;FRA;N;28;D;S;Dri;Agi;0
Lucas Calodat;P;FRA;N;24;E;N;Cru;Res;0
Antoine Rabillard;A;FRA;N;30;D;S;Cab;Res;0
Dame Gueye;A;SEN;N;31;D;S;Pas;Imp;0
Enzo Vagner;A;BRA;N;20;D;N;Pas;Vel;0
Habib Diallo;A;SEN;N;31;D;N;Pas;Fri;0
Louis Mafouta;A;CAF;N;32;D;S;Fin;For;0
William Harhouz;A;FRA;N;26;D;N;Chu;Fri;0
