Lille;FRA;88;Stade Pierre-Mauroy;Davide Ancelotti;ITA;F20505;FFFFFF;50000
Arnaud Bodart;G;BEL;N;28;D;N;Ref;Con;0
Berke Özer;G;TUR;N;26;D;S;Ref;Fri;0
Orlando Gill;G;PRY;N;26;E;N;Sgo;For;0
Calvin Verdonk;L;IDN;N;29;E;N;Pas;Ace;0
Loun Srdanovic;L;CHE;N;20;D;N;Pas;Agi;0
Romain Perraud;L;FRA;N;28;E;S;Pos;Ace;0
Tiago Santos;L;PRT;N;24;D;S;Cru;Agi;0
Alexsandro;Z;BRA;N;27;A;S;Mar;Con;0
Isaac Cossier;Z;FRA;N;19;E;N;Mar;Res;0
Nathan Ngoy;Z;BEL;N;23;D;S;Pos;Vel;0
Tanguy Nianzou;Z;FRA;N;24;D;N;Des;For;4
Benjamin André;V;FRA;N;36;D;S;Chu;For;0
Nabil Bentaleb;V;DZA;N;31;E;S;Mar;For;0
Ngal'ayel Mukau;V;COD;N;21;E;S;Des;Con;0
Hákon Haraldsson;M;ISL;N;23;D;S;Fin;Res;0
Maurits Kjærgaard;M;DNK;N;23;E;N;Arm;Vis;0
Başar Önal;P;TUR;N;22;D;N;Dri;Vel;0
Dilane Bakwa;P;FRA;N;24;E;N;Fin;Agi;0
Ethan Mbappé;P;FRA;N;19;E;S;Cru;Cri;0
Gaëtan Perrin;P;FRA;N;30;D;N;Pas;Res;0
Osame Sahraoui;P;MAR;N;25;D;N;Fin;Agi;0
Soriba Diaoune;P;FRA;N;19;D;N;Fin;Agi;0
Tiago Morais;P;PRT;N;22;D;N;Fin;Agi;0
Ayase Ueda;A;JPN;N;28;D;N;Fin;Fri;6
Hamza Igamane;A;MAR;N;23;D;N;Fin;Fri;0
Mohamed Bayo;A;GIN;N;28;D;N;Fin;Fri;0
Olivier Giroud;A;FRA;N;39;E;S;Dri;For;6
