Lorient;FRA;84;Stade du Moustoir;Alexandre Dujeux;FRA;F58113;000000;18500
Benjamin Leroy;G;FRA;N;37;D;N;Ref;Con;0
Bingourou Kamara;G;SEN;N;29;D;N;Sgo;For;0
Yvon Mvogo;G;CHE;N;32;D;S;Rbo;Con;0
Alec Georgen;L;FRA;N;27;D;N;Cru;Ace;0
Arsène Kouassi;L;BFA;N;22;E;S;Mar;Ace;0
Srdjan Kuzmic;L;SVN;N;22;D;N;Des;Res;0
Formose Mendy;Z;SEN;N;25;D;N;Mar;For;0
Isaak Touré;Z;FRA;N;23;E;N;Des;For;0
Montassar Talbi;Z;TUN;N;28;D;S;Pos;Con;0
Nathaniel Adjei;Z;GHA;N;24;D;S;Des;Vel;0
Nosa Edward Obaretin;Z;ITA;N;23;E;N;Ant;Imp;0
Arthur Avom;M;CMR;N;21;D;S;Pas;Cri;0
Bandiougou Fadiga;M;FRA;N;25;D;N;Dri;Res;0
Gabin Bernardeau;M;FRA;N;20;E;S;Dri;Vis;0
Jean-Victor Makengo;M;FRA;N;28;E;S;Fin;Cri;0
Noah Cadiou;M;GLP;N;27;D;S;Dri;Agi;0
Noah Mbamba;M;BEL;N;21;D;N;Pas;Res;0
Dembo Sylla;P;GIN;N;23;D;S;Arm;Agi;0
Isak Jensen;P;DNK;N;22;D;N;Arm;Cri;0
Panos Katseris;P;GRC;N;25;D;N;Cru;Ace;0
Souleymane Faye;P;SEN;N;23;D;N;Dri;Ace;0
Théo Le Bris;P;FRA;N;23;D;S;Pas;Ace;0
Aiyegun Tosin;A;BEN;N;28;D;N;Fin;Imp;0
Ibrahima Baldé;A;FRA;N;23;D;S;Chu;Vel;0
Mohamed Bamba;A;CIV;N;24;D;N;Cab;Fri;0
