Metz;FRA;73;Stade Saint-Symphorien;Luc Holtz;LUX;74070B;FFFFFF;28500
Jonathan Fischer;G;DNK;N;24;E;S;Sgo;Fle;0
Ousmane Ba;G;SEN;N;24;D;N;Ref;Con;0
Pape Sy;G;SEN;N;29;D;N;Sgo;Fri;0
Bouna Sarr;L;SEN;N;34;D;N;Pas;Ace;0
Florian Miguel;L;FRA;N;29;E;S;Des;For;0
Maxime Colin;L;FRA;N;34;D;S;Cru;For;0
Cristian Devenish;Z;COL;N;25;D;S;Des;For;0
Idris Mohamed;Z;COM;N;22;D;S;Pos;Vel;0
Jean Ruiz;Z;FRA;N;28;E;S;Mar;For;0
Michel Mboula;Z;GAB;N;23;E;N;Pos;Res;0
Alassane Sy;V;SEN;N;21;D;N;Ant;Vis;0
Alpha Touré;V;SEN;N;20;E;N;Pas;Con;0
Nampalys Mendy;V;SEN;N;34;D;N;Pas;Con;0
Believe Munongo;M;FRA;N;16;A;S;Arm;Cri;0
Jessy Deminguet;M;FRA;N;28;E;S;Fin;Cri;0
Téji Savanier;M;FRA;N;34;D;N;Chu;Cri;0
Giorgi Abuashvili;P;GEO;N;23;D;S;Cru;Ace;0
Hamza Kadamani;P;LUX;N;16;D;N;Dri;Vel;0
Morgan Bokele;P;CMR;N;22;D;N;Dri;Cri;0
Édouard Soumah-Abbad;P;FRA;N;23;D;N;Fin;Agi;0
Abdourahmane Mbodji;A;SEN;N;18;D;N;Fin;Fri;0
Ibou Sané;A;SEN;N;21;D;N;Pas;Vel;0
Joseph Mangondo;A;FRA;N;21;E;N;Fin;Res;0
Nathan Mbala;A;COD;N;18;E;S;Fin;Vel;0
Pape Moussa Fall;A;SEN;N;22;D;S;Fin;Imp;0
