Monaco;FRA;88;Stade Louis II;Filipe Luís;BRA;FF0000;FFFFFF;18500
Lukas Hradecky;G;FIN;N;36;D;N;Ref;Con;0
Philipp Köhn;G;CHE;N;28;D;S;Ref;Fri;0
Yann Lienard;G;FRA;N;23;D;N;Sgo;Fle;0
Jordan Teze;L;NLD;N;26;D;S;Pos;For;4
Nazinho;L;PRT;N;22;E;N;Cru;For;0
Vanderson;L;BRA;N;25;D;N;Mar;For;0
Christian Mawissa;Z;FRA;N;21;E;N;Ant;For;0
Eric Dier;Z;ENG;N;32;D;N;Mar;Res;0
Mohammed Salisu;Z;GHA;N;27;E;S;Cab;For;0
Sadibou Sané;Z;SEN;N;22;D;N;Pos;For;0
Denis Zakaria;V;CHE;N;29;D;S;Pas;Agi;0
Aleksandr Golovin;M;RUS;N;30;D;S;Dri;Agi;0
Edan Diop;M;FRA;N;21;D;N;Fin;Cri;0
Lamine Camara;M;SEN;N;22;D;S;Pas;Cri;0
Mamadou Coulibaly;M;FRA;N;22;E;S;Chu;Agi;0
Stanis Idumbo;M;BEL;N;21;D;N;Fin;Vis;0
Ansu Fati;P;ESP;S;23;D;N;Fin;Res;0
Mathys Detourbet;P;FRA;N;19;D;N;Arm;Res;0
Takumi Minamino;P;JPN;N;31;D;S;Arm;Cri;0
Folarin Balogun;A;USA;N;25;D;S;Fin;Imp;0
Matthis Abline;A;FRA;N;22;D;S;Dri;For;6
Mika Biereth;A;DNK;N;23;D;N;Pas;Vel;0
Paris Brunner;A;DEU;N;20;D;N;Fin;Res;0
