Nice;FRA;83;Allianz Riviera;Olivier Pantaloni;FRA;1E191A;ED161F;35500
Teddy Boulhendi;G;DZA;N;25;D;N;Ref;Fle;0
Yehvann Diouf;G;SEN;N;26;D;S;Sgo;Fle;0
Ali Abdi;L;TUN;N;32;E;S;Des;Ace;0
Hamza Koutoune;L;MAR;N;19;D;N;Cru;Ace;0
Jonathan Clauss;L;FRA;N;33;D;S;Cru;Res;0
Melvin Bard;L;FRA;N;25;E;S;Des;Ace;0
Niels Nkounkou;L;FRA;N;25;E;N;Cru;Vel;0
Abdelmonem;Z;EGY;N;27;D;N;Des;Res;0
Antoine Mendy;Z;SEN;N;22;D;S;Cab;For;0
Moïse Bombito;Z;CAN;N;26;D;N;Pos;Con;0
Ndayishimiye;Z;BDI;N;27;D;N;Mar;Res;0
Axel Witsel;V;BEL;N;37;D;S;Pas;Con;0
Everton;V;FRA;N;19;D;N;Pas;Agi;0
Laurent Abergel;V;FRA;N;33;D;N;Pas;Res;0
Salis Abdul Samed;V;GHA;N;26;D;S;Pas;Vis;0
Djibril Coulibaly;M;FRA;N;17;D;N;Fin;Agi;0
Hicham Boudaoui;M;DZA;N;26;D;S;Pas;Cri;0
Issiaga Camara;M;GIN;N;21;D;N;Pas;Agi;0
Morgan Sanson;M;FRA;N;31;D;S;Pas;Vis;0
Gauthier Hein;P;FRA;N;30;E;N;Pas;Cri;0
Isak Jansson;P;SWE;N;24;D;S;Cru;Ace;0
Nathan Ngoumou;P;CMR;N;26;D;N;Dri;Vel;0
Sofiane Diop;P;MAR;N;26;D;S;Fin;Agi;0
Elye Wahi;A;CIV;N;23;D;N;Dri;Fri;0
Mohamed Amoura;A;DZA;N;26;D;N;Fin;Vel;0
Victor Orakpo;A;NGA;N;20;D;N;Cab;Vel;0
