Olympique Marseille;FRA;87;Orange Vélodrome;Bruno Genesio;FRA;FFFFFF;099FFF;67000
Jeffrey de Lange;G;NLD;N;28;D;S;Ref;Con;0
Jelle Van Neck;G;BEL;N;22;D;N;Sgo;Imp;0
Emerson;L;ITA;N;31;E;S;Cru;Res;0
Ulisses Garcia;L;CHE;N;30;E;S;Cru;Vel;0
Bamo Meïté;Z;CIV;N;24;D;N;Mar;Vel;0
CJ Egan-Riley;Z;ENG;N;23;D;S;Mar;Vel;0
Derek Cornelius;Z;CAN;N;28;E;N;Des;Vel;0
Nayef Aguerd;Z;MAR;N;30;E;S;Mar;Con;0
Geoffrey Kondogbia;V;CAF;N;33;E;S;Pas;Con;0
Pierre-Emile Højbjerg;V;DNK;N;30;D;S;Mar;For;0
Tochukwu Nnadi;V;NGA;N;23;D;N;Pas;Con;0
Angel Gomes;M;ENG;N;25;D;N;Chu;Vis;0
Himad Abdelli;M;DZA;N;26;D;N;Pas;Fri;0
Quinten Timber;M;NLD;N;25;D;N;Dri;Vis;0
Timothy Weah;M;USA;N;26;D;S;Arm;Cri;0
Amine Harit;P;MAR;N;29;D;S;Dri;Cri;0
Igor Paixão;P;BRA;N;26;D;S;Pas;Agi;0
Amine Gouiri;A;DZA;N;26;D;S;Chu;Imp;0
Faris Moumbagna;A;CMR;N;26;E;N;Fin;For;0
Neal Maupay;A;FRA;N;29;D;N;Pas;For;0
