Pau;FRA;70;Nouste Camp;Thierry Debès;FRA;1D203F;F0CE12;4000
Brice Maubleu;G;FRA;N;36;D;S;Col;Fle;0
Esteban Salles;G;FRA;N;32;D;N;Ref;Fri;0
Maxime Adam;G;FRA;N;23;D;N;Ref;Con;0
Akim Abdallah;L;COM;N;29;E;N;Des;Ace;0
Mathys Tourraine;L;MAR;N;25;D;N;Pas;Res;0
Souleymane Basse;L;SEN;N;22;E;N;Pos;Agi;0
Tom Pouilly;L;FRA;N;23;D;S;Pas;For;0
Anthony Briançon;Z;FRA;N;31;D;N;Pos;Con;0
Axel Bamba;Z;CIV;N;27;D;S;Cab;For;0
Axel Dodote;Z;FRA;N;19;D;S;Pos;Con;0
Gaëtan Paquiez;Z;FRA;N;32;D;S;Mar;For;0
Rony Mimb Baheng;Z;CMR;N;21;E;N;Ant;Imp;0
Cheikh Fall;M;SEN;N;22;D;S;Fin;Res;0
Jessy Benet;M;FRA;N;31;D;S;Dri;Cri;0
Kyllian Gasnier;M;FRA;N;24;D;N;Chu;Res;0
Lorenzo Rajot;M;FRA;N;28;E;N;Pas;Vis;0
Luan Gadegbeku;M;FRA;N;19;E;N;Arm;Agi;0
Quentin Daubin;M;FRA;N;31;D;N;Pas;Res;0
Alexis Lefebvre;P;FRA;N;23;D;S;Dri;Agi;0
Giovani Versini;P;FRA;N;22;E;S;Fin;Cri;0
Jérémy Sebas;P;MTQ;N;23;D;S;Dri;Res;0
Royce Openda;P;GAB;N;24;D;N;Dri;Agi;0
Tom Saettel;P;FRA;N;21;D;N;Dri;Agi;0
Abdoulaye Mbaye;A;SEN;N;20;D;N;Fin;For;0
Babacar Leye;A;FRA;N;25;D;N;Fin;For;0
Hacène Benali;A;DZA;N;26;D;S;Pas;Vel;0
