Red Star;FRA;73;Stade Bauer;Damien Perrinelle;FRA;0C4530;FFFFFF;10000
Gaëtan Poussin;G;FRA;N;27;D;S;Ref;Imp;0
Mouez Hassen;G;TUN;N;31;D;N;Sgo;Con;0
Yanis Benchaouch;G;MAR;N;20;D;N;Ref;Fle;0
Côme Bianay Balcot;L;FRA;N;21;D;N;Mar;For;0
Leonardo Buta;L;PRT;N;24;E;N;Pos;Agi;0
Matthieu Huard;L;FRA;N;28;E;S;Cru;Vel;0
Théo Magnin;L;CHE;N;23;D;S;Des;Ace;0
Bradley Danger;Z;FRA;N;28;D;N;Ant;Con;0
Dylan Durivaux;Z;FRA;N;25;D;S;Des;For;0
Elyaz Zidane;Z;FRA;N;20;E;S;Cab;Imp;0
Josué Escartin;Z;FRA;N;23;D;N;Pos;Res;0
Pierre Lemonnier;Z;FRA;N;33;D;N;Des;For;0
Cheick Konaté;V;CIV;N;21;D;N;Mar;Agi;0
Idrissa Sabaly;V;FRA;N;18;E;N;Chu;For;0
Islamdine Halifa;V;FRA;N;21;D;S;Pas;Vis;0
Guillaume Trani;M;FRA;N;28;A;N;Fin;Vis;0
Mahamadou Diawara;M;FRA;N;21;E;N;Dri;Agi;0
Samuel Renel;M;MTQ;N;24;D;N;Pas;Vis;0
Saîf-Eddine Khaoui;M;TUN;N;31;E;S;Arm;Cri;0
Damien Durand;P;FRA;N;30;D;S;Cru;Cri;0
Godson Kyeremeh;P;FRA;N;26;D;N;Cru;Ace;0
Kemo Cissé;P;FRA;N;29;E;S;Dri;Vel;0
Kévin Cabral;P;FRA;N;27;D;S;Cru;Cri;0
Ilija Despotovic;A;CHE;N;18;D;N;Fin;Vel;0
Jovany Ikanga;A;FRA;N;24;D;S;Fin;Res;0
