Rennes;FRA;87;Roazhon Park;Franck Haise;FRA;E23022;FFFFFF;29500
Brice Samba;G;FRA;N;32;E;S;Ref;Fri;0
Kilian Belazzoug;G;DZA;N;20;D;N;Ref;Fle;0
Nicolas Lemaître;G;FRA;N;29;E;N;Ref;Con;0
Bryan Reynolds;L;USA;N;25;D;N;Cru;Res;0
Frankowski;L;POL;N;31;D;S;Cru;Ace;0
Mahamadou Nagida;L;CMR;N;21;E;N;Cru;Agi;0
Quentin Merlin;L;FRA;N;24;E;S;Pas;Res;0
Ait Boudlal;Z;MAR;N;20;D;N;Cab;Con;0
Alidu Seidu;Z;GHA;N;26;D;N;Mar;Con;0
Anthony Rouault;Z;FRA;N;25;D;N;Des;Con;0
Charlie Cresswell;Z;ENG;N;23;D;N;Cab;For;0
Gonçalo Oliveira;Z;PRT;N;20;E;S;Des;For;0
Adrien Thomasson;M;FRA;N;32;D;S;Chu;Vis;0
Ayanda Sishuba;M;BEL;N;21;D;N;Arm;Vis;0
Djaoui Cissé;M;FRA;N;22;D;N;Chu;Vis;0
Ludovic Blas;M;FRA;N;28;E;N;Pas;Cri;0
Mahdi Camara;M;FRA;N;28;D;S;Chu;Res;0
Sebastian Szymanski;M;POL;N;27;E;N;Pas;Cri;0
Valentin Rongier;M;FRA;N;31;D;S;Chu;Fri;0
Arnaud Nordin;P;FRA;N;28;A;S;Cru;Ace;0
Issa Soumaré;P;SEN;N;25;D;S;Pas;Cri;0
Legendre Quiñónez;P;ECU;N;18;D;N;Fin;Res;0
Mousa Tamari;P;JOR;N;29;E;S;Cru;Agi;0
Boulaye Dia;A;SEN;N;29;D;N;Pas;For;0
Eliezer Mayenda;A;ESP;N;21;E;N;Dri;Imp;6
Estéban Lepaul;A;FRA;N;26;D;S;Fin;Vel;0
