Rodez;FRA;74;Stade Paul-Lignon;Didier Santini;FRA;AD0723;EAF520;5500
Enzo Crombez;G;FRA;N;23;D;N;Ref;Fri;0
Lucas Margueron;G;FRA;N;25;D;S;Rbo;Imp;0
Quentin Braat;G;FRA;N;29;D;N;Sgo;Fle;0
Cheick Doumbia;L;MLI;N;21;E;N;Des;Agi;0
Evans Jean-Lambert;L;FRA;N;27;E;S;Cru;Agi;0
Steven Luyambula;L;FRA;N;23;D;N;Pas;Res;0
Dylan Vangi;Z;FRA;N;21;D;N;Ant;Con;0
Loni Laurent;Z;FRA;N;25;D;S;Mar;Imp;0
Mathis Magnin;Z;CHE;N;24;D;S;Pos;Vel;0
Mohamed Sylla;Z;FRA;N;22;D;N;Cab;For;0
Raphaël Lipinski;Z;FRA;N;24;E;S;Mar;For;0
Antonin Cartillier;V;FRA;N;22;E;S;Pas;Res;0
Damjan Pavlovic;V;SRB;N;25;D;S;Des;Con;0
Jordan Mendes;V;FRA;N;22;D;S;Des;Vis;0
Corentin Issanchou;M;FRA;N;21;D;S;Fin;Vis;0
Mathis Saka;M;FRA;N;19;D;N;Chu;Cri;0
Octave Joly;M;FRA;N;23;E;S;Arm;Fri;0
Yanis Dahalani;M;FRA;N;21;E;N;Arm;Agi;0
Kenny Nagera;P;FRA;N;24;D;N;Dri;Cri;0
Mathis Touho;P;FRA;N;21;D;S;Dri;Vel;0
Ryan Ponti;P;MDG;N;28;E;N;Cru;Agi;0
Hermann Tebily;A;FRA;N;24;D;N;Cab;Vel;0
Mehdi Baaloudj;A;DZA;N;25;D;N;Fin;Imp;0
Nachon Nsingi;A;BEL;N;25;D;N;Fin;Vel;0
