Rouen;FRA;64;Stade Robert Diochon;Régis Brouard;FRA;CE2127;FFFFFF;8000
Axel Maraval;G;FRA;N;32;D;S;Sgo;Con;0
Didier Desprez;G;FRA;N;27;D;N;Ref;Fle;0
Clément Bassin;L;FRA;N;31;E;S;Mar;For;0
Jordy Gaspar;L;AGO;N;29;D;S;Cru;Agi;0
Melvin Borne;L;FRA;N;21;E;S;Pas;Vel;0
Formose Mendy;Z;FRA;N;32;D;N;Des;For;0
Zakary Lamgahez;Z;FRA;N;23;D;S;Pos;Vel;0
Amara Touré;V;CIV;N;21;D;N;Mar;For;0
Bakari Camara;V;MRT;N;32;D;N;Des;Agi;0
Guiry Egny;M;FRA;N;24;D;N;Dri;Res;0
Ibrahima Samoura;M;FRA;N;21;D;N;Pas;Agi;0
Marvin Gakpa;M;FRA;N;32;E;S;Arm;Vis;0
Noé Sommer;M;FRA;N;25;D;S;Pas;Vis;0
Issiaka Karamoko;P;FRA;N;25;D;N;Arm;Ace;0
Lisandru Tramoni;P;FRA;N;23;E;S;Dri;Vel;0
Salim Diaby;P;FRA;N;25;D;N;Cru;Vel;0
Sory Traoré;P;GIN;N;21;E;N;Pas;Agi;0
Joël Viana;A;FRA;N;23;D;N;Dri;For;0
Malik Tchokounté;A;FRA;N;37;D;S;Cab;Imp;0
Valentin Fuss;A;FRA;N;26;D;S;Fin;Res;0
Woobens Pacius;A;HTI;N;25;D;S;Dri;Vel;0
