Sochaux;FRA;69;Stade Auguste-Bonal;Vincent Hognon;FRA;F7C920;04458E;20000
Alexandre Pierre;G;HTI;N;25;D;N;Col;Fle;0
Mehdi Jeannin;G;DZA;N;35;D;S;Ref;Con;0
Bendjaloud Youssouf;L;COM;N;32;D;S;Cru;Res;0
Dylan Tavares;L;CPV;N;30;E;N;Cru;Vel;0
Élie N'Gatta;L;CIV;N;20;D;S;Mar;Agi;0
Arthur Vitelli;Z;FRA;N;26;D;N;Pos;Vel;0
Dalangunypole Gomis;Z;FRA;N;22;E;S;Cab;Imp;0
Mathieu Peybernes;Z;FRA;N;35;D;S;Des;For;0
Saad Agouzoul;Z;MAR;N;29;E;N;Ant;Con;0
Honoré Bayanginisa;V;COD;N;21;D;N;Pas;For;0
Julien Masson;V;FRA;N;28;D;S;Des;Con;0
Jonathan Mexique;M;MTQ;N;31;D;S;Pas;Vis;0
Victor Lobry;M;FRA;N;31;E;N;Fin;Cri;0
Benjamin Gomel;P;FRA;N;28;D;N;Dri;Agi;0
Boubacar Fofana;P;FRA;N;27;E;S;Dri;Ace;0
Julien Vetro;P;FRA;N;22;E;N;Pas;Agi;0
Landry Nomel;P;CIV;N;28;D;S;Fin;Vel;0
Louicius Deedson;P;HTI;N;25;E;N;Dri;Vel;0
Ethan Cortes;A;FRA;N;19;E;N;Pas;Vel;0
Kapit Djoco;A;FRA;N;30;D;N;Pas;For;0
Marie-Gaël Mukanya;A;COD;N;23;E;N;Chu;Res;0
Mathis Clairicia;A;FRA;N;24;D;S;Dri;For;0
Samy Baghdadi;A;FRA;N;29;D;S;Fin;Vel;0
